<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20160516,HD2,6.24,6.24,6.24,6.24,3000.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0
20160517,HD2,6.71,6.71,6.71,6.71,,,,,,,,
20160518,HD2,7.18,7.18,7.18,7.18,3000.0,9.2,9.2,9.2,9.2,0.0,0.0,0.0
20160519,HD2,6.83,6.83,6.83,6.825,,,,,,,,
20160520,HD2,6.655,6.655,6.655,6.6475,,,,,,,,
20160521,HD2,6.5675,6.5675,6.5675,6.55875,,,,,,,,
20160522,HD2,6.52375,6.52375,6.52375,6.514375,,,,,,,,
20160523,HD2,6.48,6.48,6.48,6.47,200.0,8.3,8.3,8.3,8.3,0.0,0.0,0.0
20160524,HD2,6.045,6.045,6.045,6.045,,,,,,,,
20160525,HD2,5.61,5.61,5.61,5.62,800.0,7.2,7.2,7.2,7.2,0.0,0.0,0.0
20160526,HD2,6.4,6.4,5.7,5.69,4000.0,8.2,8.2,7.3,7.3,0.0,0.0,0.0
20160527,HD2,6.67,6.67,6.32,6.315,,,,,,,,
20160528,HD2,6.805,6.805,6.63,6.6275,,,,,,,,
20160529,HD2,6.8725,6.8725,6.785,6.78375,,,,,,,,
20160530,HD2,6.90625,6.90625,6.8625,6.861875,,,,,,,,
20160531,HD2,6.94,6.94,6.94,6.94,3000.0,8.9,8.9,8.9,8.9,0.0,0.0,0.0
20160532,HD2,6.435,7.055,6.435,7.06,,,,,,,,
20160533,HD2,6.1825,7.1125,6.1825,7.12,,,,,,,,
20160534,HD2,6.05625,7.14125,6.05625,7.15,,,,,,,,
20160535,HD2,5.993125,7.155625,5.993125,7.165,,,,,,,,
20160536,HD2,5.9615625,7.1628125,5.9615625,7.1725,,,,,,,,
20160537,HD2,5.94578125,7.16640625,5.94578125,7.17625,,,,,,,,
20160538,HD2,5.937890625,7.168203125,5.937890625,7.178125,,,,,,,,
20160539,HD2,5.9339453125,7.1691015625,5.9339453125,7.1790625,,,,,,,,
20160540,HD2,5.93197265625,7.16955078125,5.93197265625,7.17953125,,,,,,,,
20160541,HD2,5.93098632812,7.16977539063,5.93098632812,7.179765625,,,,,,,,
20160542,HD2,5.93049316406,7.16988769531,5.93049316406,7.1798828125,,,,,,,,
20160543,HD2,5.93024658203,7.16994384766,5.93024658203,7.17994140625,,,,,,,,
20160544,HD2,5.93012329102,7.16997192383,5.93012329102,7.17997070312,,,,,,,,
20160545,HD2,5.93006164551,7.16998596191,5.93006164551,7.17998535156,,,,,,,,
20160546,HD2,5.93003082275,7.16999298096,5.93003082275,7.17999267578,,,,,,,,
20160547,HD2,5.93001541138,7.16999649048,5.93001541138,7.17999633789,,,,,,,,
20160548,HD2,5.93000770569,7.16999824524,5.93000770569,7.17999816895,,,,,,,,
20160549,HD2,5.93000385284,7.16999912262,5.93000385284,7.17999908447,,,,,,,,
