<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100202,HDG,14.71,14.71,14.71,14.71,5520.0,103.0,103.0,103.0,103.0,0.0,0.0,0.0
20100203,HDG,15.42,15.42,15.42,15.42,10140.0,108.0,108.0,108.0,108.0,0.0,0.0,0.0
20100204,HDG,16.13,16.13,16.13,16.14,11690.0,113.0,113.0,113.0,113.0,0.0,0.0,0.0
20100205,HDG,16.43,16.85,16.43,16.85,269750.0,115.0,118.0,115.0,118.0,0.0,30.0,0.0
20100206,HDG,16.425,16.78,16.285,16.635,,,,,,,,
20100207,HDG,16.4225,16.745,16.2125,16.5275,,,,,,,,
20100208,HDG,16.42,16.71,16.14,16.42,74810.0,115.0,117.0,113.0,115.0,0.0,120.0,0.0
20100209,HDG,16.42,16.42,15.71,15.71,44920.0,115.0,115.0,110.0,110.0,0.0,2160.0,0.0
20100210,HDG,15.42,15.71,15.28,15.42,162280.0,108.0,110.0,107.0,108.0,0.0,0.0,0.0
20100211,HDG,15.28,15.85,14.99,15.42,60500.0,107.0,111.0,105.0,108.0,0.0,0.0,0.0
20100212,HDG,15.71,16.13,15.71,16.14,52600.0,110.0,113.0,110.0,113.0,0.0,0.0,0.0
20100213,HDG,16.14,16.42,15.925,16.35,,,,,,,,
20100214,HDG,16.355,16.565,16.0325,16.455,,,,,,,,
20100215,HDG,16.4625,16.6375,16.08625,16.5075,,,,,,,,
20100216,HDG,16.51625,16.67375,16.113125,16.53375,,,,,,,,
20100217,HDG,16.543125,16.691875,16.1265625,16.546875,,,,,,,,
20100218,HDG,16.5565625,16.7009375,16.13328125,16.5534375,,,,,,,,
20100219,HDG,16.56328125,16.70546875,16.136640625,16.55671875,,,,,,,,
20100220,HDG,16.566640625,16.707734375,16.1383203125,16.558359375,,,,,,,,
20100221,HDG,16.5683203125,16.7088671875,16.1391601562,16.5591796875,,,,,,,,
20100222,HDG,16.57,16.71,16.14,16.56,12690.0,116.0,117.0,113.0,116.0,0.0,310.0,0.0
20100223,HDG,15.99,16.42,15.85,15.85,61590.0,112.0,115.0,111.0,111.0,0.0,2000.0,0.0
20100224,HDG,15.99,16.14,15.71,15.99,23840.0,112.0,113.0,110.0,112.0,0.0,0.0,0.0
20100225,HDG,16.28,16.56,15.85,16.14,28790.0,114.0,116.0,111.0,113.0,0.0,200.0,0.0
20100226,HDG,16.28,16.28,16.0,16.14,42360.0,114.0,114.0,112.0,113.0,0.0,0.0,0.0
20100227,HDG,16.355,16.355,16.07,16.21,,,,,,,,
20100228,HDG,16.3925,16.3925,16.105,16.245,,,,,,,,
