<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170103,HEM,16.16,16.16,16.16,16.16,26500.0,19.1,19.1,19.1,19.1,0.0,0.0,0.0
20170104,HEM,18.53,18.53,18.53,18.53,11410.0,21.9,21.9,21.9,21.9,0.0,0.0,0.0
20170105,HEM,21.15,21.15,15.99,15.99,17470.0,25.0,25.0,18.9,18.9,0.0,0.0,0.0
20170106,HEM,18.44,18.53,17.51,17.52,10100.0,21.8,21.9,20.7,20.7,0.0,0.0,0.0
20170107,HEM,16.92,16.965,16.455,16.46,,,,,,,,
20170108,HEM,16.16,16.1825,15.9275,15.93,,,,,,,,
20170109,HEM,15.4,15.4,15.4,15.4,3000.0,18.2,18.2,18.2,18.2,0.0,0.0,0.0
20170110,HEM,13.12,14.38,13.12,14.38,9200.0,15.5,17.0,15.5,17.0,0.0,0.0,0.0
20170111,HEM,13.11,13.2,12.35,12.35,7700.0,15.5,15.6,14.6,14.6,0.0,0.0,0.0
20170112,HEM,12.77,13.11,12.77,13.12,9700.0,15.1,15.5,15.1,15.5,0.0,0.0,0.0
20170113,HEM,13.12,13.12,13.12,13.12,100.0,15.5,15.5,15.5,15.5,0.0,0.0,0.0
20170114,HEM,12.61,12.61,12.525,12.525,,,,,,,,
20170115,HEM,12.355,12.355,12.2275,12.2275,,,,,,,,
20170116,HEM,12.1,12.1,11.93,11.93,6400.0,14.3,14.3,14.1,14.1,0.0,0.0,0.0
20170117,HEM,12.1,12.1,12.1,12.1,10000.0,14.3,14.3,14.3,14.3,0.0,0.0,0.0
20170118,HEM,11.975,11.975,11.805,11.805,,,,,,,,
20170119,HEM,11.9125,11.9125,11.6575,11.6575,,,,,,,,
20170120,HEM,11.88125,11.88125,11.58375,11.58375,,,,,,,,
20170121,HEM,11.865625,11.865625,11.546875,11.546875,,,,,,,,
20170122,HEM,11.8578125,11.8578125,11.5284375,11.5284375,,,,,,,,
20170123,HEM,11.85,11.85,11.51,11.51,5100.0,14.0,14.0,13.6,13.6,0.0,0.0,0.0
20170124,HEM,11.68,11.68,11.68,11.68,10.0,13.8,13.8,13.8,13.8,0.0,0.0,0.0
20170125,HEM,11.85,11.85,11.85,11.85,900.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0
20170126,HEM,11.68,11.85,11.68,11.85,,,,,,,,
20170127,HEM,11.595,11.85,11.595,11.85,,,,,,,,
20170128,HEM,11.5525,11.85,11.5525,11.85,,,,,,,,
20170129,HEM,11.53125,11.85,11.53125,11.85,,,,,,,,
20170130,HEM,11.520625,11.85,11.520625,11.85,,,,,,,,
20170131,HEM,11.5153125,11.85,11.5153125,11.85,,,,,,,,
20170132,HEM,11.51265625,11.85,11.51265625,11.85,,,,,,,,
20170133,HEM,11.511328125,11.85,11.511328125,11.85,,,,,,,,
20170134,HEM,11.5106640625,11.85,11.5106640625,11.85,,,,,,,,
20170135,HEM,11.5103320312,11.85,11.5103320312,11.85,,,,,,,,
20170136,HEM,11.5101660156,11.85,11.5101660156,11.85,,,,,,,,
20170137,HEM,11.5100830078,11.85,11.5100830078,11.85,,,,,,,,
20170138,HEM,11.5100415039,11.85,11.5100415039,11.85,,,,,,,,
20170139,HEM,11.510020752,11.85,11.510020752,11.85,,,,,,,,
20170140,HEM,11.510010376,11.85,11.510010376,11.85,,,,,,,,
20170141,HEM,11.510005188,11.85,11.510005188,11.85,,,,,,,,
20170142,HEM,11.510002594,11.85,11.510002594,11.85,,,,,,,,
20170143,HEM,11.510001297,11.85,11.510001297,11.85,,,,,,,,
20170144,HEM,11.5100006485,11.85,11.5100006485,11.85,,,,,,,,
20170145,HEM,11.5100003242,11.85,11.5100003242,11.85,,,,,,,,
20170146,HEM,11.5100001621,11.85,11.5100001621,11.85,,,,,,,,
20170147,HEM,11.5100000811,11.85,11.5100000811,11.85,,,,,,,,
20170148,HEM,11.5100000405,11.85,11.5100000405,11.85,,,,,,,,
20170149,HEM,11.5100000203,11.85,11.5100000203,11.85,,,,,,,,
20170150,HEM,11.5100000101,11.85,11.5100000101,11.85,,,,,,,,
20170151,HEM,11.5100000051,11.85,11.5100000051,11.85,,,,,,,,
20170152,HEM,11.5100000025,11.85,11.5100000025,11.85,,,,,,,,
20170153,HEM,11.5100000013,11.85,11.5100000013,11.85,,,,,,,,
20170154,HEM,11.5100000006,11.85,11.5100000006,11.85,,,,,,,,
20170155,HEM,11.5100000003,11.85,11.5100000003,11.85,,,,,,,,
20170156,HEM,11.5100000002,11.85,11.5100000002,11.85,,,,,,,,
20170157,HEM,11.5100000001,11.85,11.5100000001,11.85,,,,,,,,
20170158,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170159,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170160,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170161,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170162,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170163,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170164,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170165,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170166,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170167,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170168,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170169,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170170,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170171,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170172,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170173,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170174,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170175,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170176,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170177,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170178,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170179,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170180,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170181,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170182,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170183,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170184,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170185,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170186,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170187,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170188,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170189,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170190,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170191,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170192,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170193,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170194,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170195,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170196,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170197,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170198,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170199,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170200,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170201,HEM,11.51,11.85,11.51,11.85,,,,,,,,
20170202,HEM,11.51,11.85,11.51,11.85,600.0,13.6,14.0,13.6,14.0,0.0,0.0,0.0
