<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20091221,HGM,20.33,20.62,19.45,20.33,37300.0,69.0,70.0,66.0,69.0,0.0,0.0,0.0
20091222,HGM,20.04,20.04,19.74,19.74,5800.0,68.0,68.0,67.0,67.0,0.0,0.0,0.0
20091223,HGM,19.59,19.59,19.45,19.44,26100.0,66.5,66.5,66.0,66.0,20000.0,0.0,0.0
20091224,HGM,18.41,18.41,18.23,18.23,16200.0,62.5,62.5,61.9,61.9,0.0,0.0,0.0
20091225,HGM,17.08,19.53,17.08,18.26,28700.0,58.0,66.3,58.0,62.0,0.0,0.0,0.0
20091226,HGM,18.04,19.265,17.375,17.97,,,,,,,,
20091227,HGM,18.52,19.1325,17.5225,17.825,,,,,,,,
20091228,HGM,19.0,19.0,17.67,17.68,17000.0,64.5,64.5,60.0,60.0,0.0,0.0,0.0
20091229,HGM,19.3,19.3,18.86,18.85,12100.0,65.5,65.5,64.0,64.0,0.0,0.0,0.0
20091230,HGM,18.67,18.67,17.55,17.56,1200.0,63.4,63.4,59.6,59.6,0.0,0.0,0.0
20091231,HGM,18.27,18.56,17.94,17.94,19100.0,62.0,63.0,60.9,60.9,0.0,0.0,0.0
20091232,HGM,18.56,18.705,18.1,18.38,,,,,,,,
20091233,HGM,18.705,18.7775,18.18,18.6,,,,,,,,
20091234,HGM,18.7775,18.81375,18.22,18.71,,,,,,,,
20091235,HGM,18.81375,18.831875,18.24,18.765,,,,,,,,
20091236,HGM,18.831875,18.8409375,18.25,18.7925,,,,,,,,
20091237,HGM,18.8409375,18.84546875,18.255,18.80625,,,,,,,,
20091238,HGM,18.84546875,18.847734375,18.2575,18.813125,,,,,,,,
20091239,HGM,18.847734375,18.8488671875,18.25875,18.8165625,,,,,,,,
20091240,HGM,18.8488671875,18.8494335937,18.259375,18.81828125,,,,,,,,
20091241,HGM,18.8494335937,18.8497167969,18.2596875,18.819140625,,,,,,,,
20091242,HGM,18.8497167969,18.8498583984,18.25984375,18.8195703125,,,,,,,,
20091243,HGM,18.8498583984,18.8499291992,18.259921875,18.8197851562,,,,,,,,
20091244,HGM,18.8499291992,18.8499645996,18.2599609375,18.8198925781,,,,,,,,
20091245,HGM,18.8499645996,18.8499822998,18.2599804688,18.8199462891,,,,,,,,
20091246,HGM,18.8499822998,18.8499911499,18.2599902344,18.8199731445,,,,,,,,
20091247,HGM,18.8499911499,18.849995575,18.2599951172,18.8199865723,,,,,,,,
20091248,HGM,18.849995575,18.8499977875,18.2599975586,18.8199932861,,,,,,,,
20091249,HGM,18.8499977875,18.8499988937,18.2599987793,18.8199966431,,,,,,,,
20091250,HGM,18.8499988937,18.8499994469,18.2599993896,18.8199983215,,,,,,,,
20091251,HGM,18.8499994469,18.8499997234,18.2599996948,18.8199991608,,,,,,,,
20091252,HGM,18.8499997234,18.8499998617,18.2599998474,18.8199995804,,,,,,,,
