<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20090305,HLC,9.83,9.83,8.15,8.99,4200.0,35.0,35.0,29.0,32.0,0.0,0.0,0.0
20090306,HLC,8.99,8.99,8.99,8.99,1000.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0
20090307,HLC,8.71,8.71,8.71,8.71,,,,,,,,
20090308,HLC,8.57,8.57,8.57,8.57,,,,,,,,
20090309,HLC,8.43,8.43,8.43,8.43,500.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
20090310,HLC,8.49,8.49,7.84,7.84,900.0,30.2,30.2,27.9,27.9,0.0,0.0,0.0
20090311,HLC,8.37,8.37,7.64,7.64,3800.0,29.8,29.8,27.2,27.2,0.0,0.0,0.0
20090312,HLC,7.84,7.84,7.3,7.3,3000.0,27.9,27.9,26.0,26.0,0.0,0.0,0.0
20090313,HLC,7.55,7.55,6.96,6.96,7300.0,26.9,26.9,24.8,24.8,0.0,0.0,0.0
20090314,HLC,7.06,7.295,6.765,6.78,,,,,,,,
20090315,HLC,6.815,7.1675,6.6675,6.69,,,,,,,,
20090316,HLC,6.57,7.04,6.57,6.6,1200.0,23.4,25.1,23.4,23.5,0.0,0.0,0.0
20090317,HLC,7.02,7.02,6.26,7.02,1700.0,25.0,25.0,22.3,25.0,0.0,0.0,0.0
20090318,HLC,7.02,7.02,7.02,7.02,700.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0
20090319,HLC,7.3,7.5,7.16,7.16,1100.0,26.0,26.7,25.5,25.5,0.0,0.0,0.0
20090320,HLC,7.58,7.58,7.16,7.16,1000.0,27.0,27.0,25.5,25.5,0.0,0.0,0.0
20090321,HLC,7.3,7.3,7.09,7.09,,,,,,,,
20090322,HLC,7.16,7.16,7.055,7.055,,,,,,,,
20090323,HLC,7.02,7.02,7.02,7.02,400.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0
20090324,HLC,6.74,7.5,6.74,7.02,2200.0,24.0,26.7,24.0,25.0,0.0,0.0,0.0
20090325,HLC,7.49,7.49,7.49,7.49,1000.0,25.4,25.4,25.4,25.4,0.0,0.0,0.0
20090326,HLC,7.52,7.58,7.52,7.58,1000.0,25.5,25.7,25.5,25.7,0.0,0.0,0.0
20090327,HLC,7.96,7.96,7.96,7.96,700.0,27.0,27.0,27.0,27.0,0.0,0.0,0.0
20090328,HLC,7.945,8.035,7.945,8.035,,,,,,,,
20090329,HLC,7.9375,8.0725,7.9375,8.0725,,,,,,,,
20090330,HLC,7.93375,8.09125,7.93375,8.09125,,,,,,,,
20090331,HLC,7.93,8.11,7.93,8.11,2000.0,26.9,27.5,26.9,27.5,0.0,0.0,0.0
20090332,HLC,7.71,7.8,7.71,7.8,,,,,,,,
20090333,HLC,7.6,7.645,7.6,7.645,,,,,,,,
20090334,HLC,7.545,7.5675,7.545,7.5675,,,,,,,,
20090335,HLC,7.5175,7.52875,7.5175,7.52875,,,,,,,,
20090336,HLC,7.50375,7.509375,7.50375,7.509375,,,,,,,,
20090337,HLC,7.496875,7.4996875,7.496875,7.4996875,,,,,,,,
20090338,HLC,7.4934375,7.49484375,7.4934375,7.49484375,,,,,,,,
20090339,HLC,7.49171875,7.492421875,7.49171875,7.492421875,,,,,,,,
20090340,HLC,7.490859375,7.4912109375,7.490859375,7.4912109375,,,,,,,,
20090341,HLC,7.4904296875,7.49060546875,7.4904296875,7.49060546875,,,,,,,,
20090342,HLC,7.49021484375,7.49030273437,7.49021484375,7.49030273437,,,,,,,,
20090343,HLC,7.49010742188,7.49015136719,7.49010742188,7.49015136719,,,,,,,,
20090344,HLC,7.49005371094,7.49007568359,7.49005371094,7.49007568359,,,,,,,,
20090345,HLC,7.49002685547,7.4900378418,7.49002685547,7.4900378418,,,,,,,,
20090346,HLC,7.49001342773,7.4900189209,7.49001342773,7.4900189209,,,,,,,,
20090347,HLC,7.49000671387,7.49000946045,7.49000671387,7.49000946045,,,,,,,,
20090348,HLC,7.49000335693,7.49000473022,7.49000335693,7.49000473022,,,,,,,,
20090349,HLC,7.49000167847,7.49000236511,7.49000167847,7.49000236511,,,,,,,,
20090350,HLC,7.49000083923,7.49000118256,7.49000083923,7.49000118256,,,,,,,,
20090351,HLC,7.49000041962,7.49000059128,7.49000041962,7.49000059128,,,,,,,,
20090352,HLC,7.49000020981,7.49000029564,7.49000020981,7.49000029564,,,,,,,,
20090353,HLC,7.4900001049,7.49000014782,7.4900001049,7.49000014782,,,,,,,,
20090354,HLC,7.49000005245,7.49000007391,7.49000005245,7.49000007391,,,,,,,,
20090355,HLC,7.49000002623,7.49000003695,7.49000002623,7.49000003695,,,,,,,,
20090356,HLC,7.49000001311,7.49000001848,7.49000001311,7.49000001848,,,,,,,,
20090357,HLC,7.49000000656,7.49000000924,7.49000000656,7.49000000924,,,,,,,,
20090358,HLC,7.49000000328,7.49000000462,7.49000000328,7.49000000462,,,,,,,,
20090359,HLC,7.49000000164,7.49000000231,7.49000000164,7.49000000231,,,,,,,,
