<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20091229,HST,7.11,7.11,7.11,7.11,200.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0
20091230,HST,7.6,7.6,7.6,7.6,1000.0,13.9,13.9,13.9,13.9,0.0,0.0,0.0
20091231,HST,7.355,7.355,7.355,7.355,,,,,,,,
20091232,HST,7.2325,7.2325,7.2325,7.2325,,,,,,,,
20091233,HST,7.17125,7.17125,7.17125,7.17125,,,,,,,,
20091234,HST,7.140625,7.140625,7.140625,7.140625,,,,,,,,
20091235,HST,7.1253125,7.1253125,7.1253125,7.1253125,,,,,,,,
20091236,HST,7.11765625,7.11765625,7.11765625,7.11765625,,,,,,,,
20091237,HST,7.113828125,7.113828125,7.113828125,7.113828125,,,,,,,,
20091238,HST,7.1119140625,7.1119140625,7.1119140625,7.1119140625,,,,,,,,
20091239,HST,7.11095703125,7.11095703125,7.11095703125,7.11095703125,,,,,,,,
20091240,HST,7.11047851563,7.11047851563,7.11047851563,7.11047851563,,,,,,,,
20091241,HST,7.11023925781,7.11023925781,7.11023925781,7.11023925781,,,,,,,,
20091242,HST,7.11011962891,7.11011962891,7.11011962891,7.11011962891,,,,,,,,
20091243,HST,7.11005981445,7.11005981445,7.11005981445,7.11005981445,,,,,,,,
20091244,HST,7.11002990723,7.11002990723,7.11002990723,7.11002990723,,,,,,,,
20091245,HST,7.11001495361,7.11001495361,7.11001495361,7.11001495361,,,,,,,,
20091246,HST,7.11000747681,7.11000747681,7.11000747681,7.11000747681,,,,,,,,
20091247,HST,7.1100037384,7.1100037384,7.1100037384,7.1100037384,,,,,,,,
20091248,HST,7.1100018692,7.1100018692,7.1100018692,7.1100018692,,,,,,,,
20091249,HST,7.1100009346,7.1100009346,7.1100009346,7.1100009346,,,,,,,,
20091250,HST,7.1100004673,7.1100004673,7.1100004673,7.1100004673,,,,,,,,
20091251,HST,7.11000023365,7.11000023365,7.11000023365,7.11000023365,,,,,,,,
20091252,HST,7.11000011683,7.11000011683,7.11000011683,7.11000011683,,,,,,,,
20091253,HST,7.11000005841,7.11000005841,7.11000005841,7.11000005841,,,,,,,,
20091254,HST,7.11000002921,7.11000002921,7.11000002921,7.11000002921,,,,,,,,
20091255,HST,7.1100000146,7.1100000146,7.1100000146,7.1100000146,,,,,,,,
20091256,HST,7.1100000073,7.1100000073,7.1100000073,7.1100000073,,,,,,,,
20091257,HST,7.11000000365,7.11000000365,7.11000000365,7.11000000365,,,,,,,,
20091258,HST,7.11000000183,7.11000000183,7.11000000183,7.11000000183,,,,,,,,
20091259,HST,7.11000000091,7.11000000091,7.11000000091,7.11000000091,,,,,,,,
