<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20101220,HTI,9.85,9.85,9.85,9.85,31730.0,20.0,20.0,20.0,20.0,0.0,3250.0,0.0
20101221,HTI,9.36,9.36,9.36,9.36,910.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0
20101222,HTI,9.36,9.36,8.92,8.91,5830.0,19.0,19.0,18.1,18.1,0.0,1700.0,0.0
20101223,HTI,8.47,8.47,8.47,8.47,500.0,17.2,17.2,17.2,17.2,0.0,0.0,0.0
20101224,HTI,8.08,8.37,8.08,8.08,62350.0,16.4,17.0,16.4,16.4,0.0,0.0,0.0
20101225,HTI,7.885,8.125,7.885,7.98,,,,,,,,
20101226,HTI,7.7875,8.0025,7.7875,7.93,,,,,,,,
20101227,HTI,7.69,7.88,7.69,7.88,158210.0,15.6,16.0,15.6,16.0,0.0,2000.0,0.0
20101228,HTI,7.88,7.88,7.54,7.68,45270.0,16.0,16.0,15.3,15.6,0.0,0.0,0.0
20101229,HTI,7.47,7.58,7.32,7.32,32850.0,14.4,14.6,14.1,14.1,0.0,0.0,0.0
20101230,HTI,7.01,7.32,6.96,6.96,59120.0,13.5,14.1,13.4,13.4,0.0,0.0,0.0
20101231,HTI,6.8,7.27,6.8,7.27,70340.0,13.1,14.0,13.1,14.0,0.0,0.0,0.0
20101232,HTI,7.215,7.45,7.165,7.45,,,,,,,,
20101233,HTI,7.4225,7.54,7.3475,7.54,,,,,,,,
20101234,HTI,7.52625,7.585,7.43875,7.585,,,,,,,,
20101235,HTI,7.578125,7.6075,7.484375,7.6075,,,,,,,,
20101236,HTI,7.6040625,7.61875,7.5071875,7.61875,,,,,,,,
20101237,HTI,7.61703125,7.624375,7.51859375,7.624375,,,,,,,,
20101238,HTI,7.623515625,7.6271875,7.524296875,7.6271875,,,,,,,,
20101239,HTI,7.6267578125,7.62859375,7.5271484375,7.62859375,,,,,,,,
20101240,HTI,7.62837890625,7.629296875,7.52857421875,7.629296875,,,,,,,,
20101241,HTI,7.62918945312,7.6296484375,7.52928710937,7.6296484375,,,,,,,,
20101242,HTI,7.62959472656,7.62982421875,7.52964355469,7.62982421875,,,,,,,,
20101243,HTI,7.62979736328,7.62991210938,7.52982177734,7.62991210938,,,,,,,,
20101244,HTI,7.62989868164,7.62995605469,7.52991088867,7.62995605469,,,,,,,,
20101245,HTI,7.62994934082,7.62997802734,7.52995544434,7.62997802734,,,,,,,,
20101246,HTI,7.62997467041,7.62998901367,7.52997772217,7.62998901367,,,,,,,,
20101247,HTI,7.62998733521,7.62999450684,7.52998886108,7.62999450684,,,,,,,,
