<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20120221,KHL,10.2,10.7,5.9,5.9,119400.0,10.2,10.7,5.9,5.9,0.0,0.0,0.0
20120222,KHL,8.7,8.95,6.55,6.55,,,,,,,,
20120223,KHL,7.2,7.2,7.2,7.2,100.0,7.2,7.2,7.2,7.2,0.0,0.0,0.0
20120224,KHL,6.95,6.95,6.95,6.95,,,,,,,,
20120225,KHL,6.825,6.825,6.825,6.825,,,,,,,,
20120226,KHL,6.7625,6.7625,6.7625,6.7625,,,,,,,,
20120227,KHL,6.7,6.7,6.7,6.7,100.0,6.7,6.7,6.7,6.7,0.0,0.0,0.0
20120228,KHL,6.3,6.3,6.3,6.3,100.0,6.3,6.3,6.3,6.3,0.0,0.0,0.0
20120229,KHL,5.9,5.9,5.9,5.9,100.0,5.9,5.9,5.9,5.9,0.0,0.0,0.0
20120230,KHL,5.7,5.7,5.7,5.7,,,,,,,,
20120231,KHL,5.6,5.6,5.6,5.6,,,,,,,,
20120232,KHL,5.55,5.55,5.55,5.55,,,,,,,,
20120233,KHL,5.525,5.525,5.525,5.525,,,,,,,,
20120234,KHL,5.5125,5.5125,5.5125,5.5125,,,,,,,,
20120235,KHL,5.50625,5.50625,5.50625,5.50625,,,,,,,,
20120236,KHL,5.503125,5.503125,5.503125,5.503125,,,,,,,,
20120237,KHL,5.5015625,5.5015625,5.5015625,5.5015625,,,,,,,,
20120238,KHL,5.50078125,5.50078125,5.50078125,5.50078125,,,,,,,,
20120239,KHL,5.500390625,5.500390625,5.500390625,5.500390625,,,,,,,,
20120240,KHL,5.5001953125,5.5001953125,5.5001953125,5.5001953125,,,,,,,,
20120241,KHL,5.50009765625,5.50009765625,5.50009765625,5.50009765625,,,,,,,,
20120242,KHL,5.50004882813,5.50004882813,5.50004882813,5.50004882813,,,,,,,,
20120243,KHL,5.50002441406,5.50002441406,5.50002441406,5.50002441406,,,,,,,,
20120244,KHL,5.50001220703,5.50001220703,5.50001220703,5.50001220703,,,,,,,,
20120245,KHL,5.50000610352,5.50000610352,5.50000610352,5.50000610352,,,,,,,,
20120246,KHL,5.50000305176,5.50000305176,5.50000305176,5.50000305176,,,,,,,,
20120247,KHL,5.50000152588,5.50000152588,5.50000152588,5.50000152588,,,,,,,,
20120248,KHL,5.50000076294,5.50000076294,5.50000076294,5.50000076294,,,,,,,,
20120249,KHL,5.50000038147,5.50000038147,5.50000038147,5.50000038147,,,,,,,,
20120250,KHL,5.50000019073,5.50000019073,5.50000019073,5.50000019073,,,,,,,,
20120251,KHL,5.50000009537,5.50000009537,5.50000009537,5.50000009537,,,,,,,,
20120252,KHL,5.50000004768,5.50000004768,5.50000004768,5.50000004768,,,,,,,,
20120253,KHL,5.50000002384,5.50000002384,5.50000002384,5.50000002384,,,,,,,,
20120254,KHL,5.50000001192,5.50000001192,5.50000001192,5.50000001192,,,,,,,,
20120255,KHL,5.50000000596,5.50000000596,5.50000000596,5.50000000596,,,,,,,,
20120256,KHL,5.50000000298,5.50000000298,5.50000000298,5.50000000298,,,,,,,,
20120257,KHL,5.50000000149,5.50000000149,5.50000000149,5.50000000149,,,,,,,,
20120258,KHL,5.50000000075,5.50000000075,5.50000000075,5.50000000075,,,,,,,,
20120259,KHL,5.50000000037,5.50000000037,5.50000000037,5.50000000037,,,,,,,,
20120260,KHL,5.50000000019,5.50000000019,5.50000000019,5.50000000019,,,,,,,,
20120261,KHL,5.50000000009,5.50000000009,5.50000000009,5.50000000009,,,,,,,,
20120262,KHL,5.50000000005,5.50000000005,5.50000000005,5.50000000005,,,,,,,,
20120263,KHL,5.50000000002,5.50000000002,5.50000000002,5.50000000002,,,,,,,,
20120264,KHL,5.50000000001,5.50000000001,5.50000000001,5.50000000001,,,,,,,,
20120265,KHL,5.50000000001,5.50000000001,5.50000000001,5.50000000001,,,,,,,,
20120266,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120267,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120268,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120269,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120270,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120271,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120272,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120273,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120274,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120275,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120276,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120277,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120278,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120279,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120280,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120281,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120282,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120283,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120284,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120285,KHL,5.5,5.5,5.5,5.5,,,,,,,,
20120286,KHL,5.5,5.5,5.5,5.5,,,,,,,,
