<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20130923,KLF,9.57,9.57,9.57,9.57,342200.0,13.6,13.6,13.6,13.6,0.0,0.0,0.0
20130924,KLF,10.48,10.48,9.57,10.49,409600.0,14.9,14.9,13.6,14.9,0.0,0.0,0.0
20130925,KLF,11.48,11.48,10.49,11.47,616500.0,16.3,16.3,14.9,16.3,0.0,0.0,0.0
20130926,KLF,12.6,12.6,10.7,11.61,851400.0,17.9,17.9,15.2,16.5,0.0,0.0,0.0
20130927,KLF,11.54,12.74,11.54,12.74,956200.0,16.4,18.1,16.4,18.1,0.0,0.0,0.0
20130928,KLF,12.07,13.375,12.07,13.375,,,,,,,,
20130929,KLF,12.335,13.6925,12.335,13.6925,,,,,,,,
20130930,KLF,12.6,14.01,12.6,14.01,654100.0,17.9,19.9,17.9,19.9,0.0,0.0,0.0
20130931,KLF,13.305,14.68,13.27,14.675,,,,,,,,
20130932,KLF,13.6575,15.015,13.605,15.0075,,,,,,,,
20130933,KLF,13.83375,15.1825,13.7725,15.17375,,,,,,,,
20130934,KLF,13.921875,15.26625,13.85625,15.256875,,,,,,,,
20130935,KLF,13.9659375,15.308125,13.898125,15.2984375,,,,,,,,
20130936,KLF,13.98796875,15.3290625,13.9190625,15.31921875,,,,,,,,
20130937,KLF,13.998984375,15.33953125,13.92953125,15.329609375,,,,,,,,
20130938,KLF,14.0044921875,15.344765625,13.934765625,15.3348046875,,,,,,,,
20130939,KLF,14.0072460937,15.3473828125,13.9373828125,15.3374023438,,,,,,,,
20130940,KLF,14.0086230469,15.3486914063,13.9386914063,15.3387011719,,,,,,,,
20130941,KLF,14.0093115234,15.3493457031,13.9393457031,15.3393505859,,,,,,,,
20130942,KLF,14.0096557617,15.3496728516,13.9396728516,15.339675293,,,,,,,,
