<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20161006,L63,10.0,10.0,10.0,10.0,1000.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
20161007,L63,9.25,9.25,9.25,9.25,,,,,,,,
20161008,L63,8.875,8.875,8.875,8.875,,,,,,,,
20161009,L63,8.6875,8.6875,8.6875,8.6875,,,,,,,,
20161010,L63,8.59375,8.59375,8.59375,8.59375,,,,,,,,
20161011,L63,8.546875,8.546875,8.546875,8.546875,,,,,,,,
20161012,L63,8.5234375,8.5234375,8.5234375,8.5234375,,,,,,,,
20161013,L63,8.5,8.5,8.5,8.5,100.0,8.5,8.5,8.5,8.5,0.0,0.0,0.0
20161014,L63,7.3,7.3,7.3,7.3,600.0,7.3,7.3,7.3,7.3,0.0,0.0,0.0
20161015,L63,6.8,6.8,6.8,6.8,,,,,,,,
20161016,L63,6.55,6.55,6.55,6.55,,,,,,,,
20161017,L63,6.425,6.425,6.425,6.425,,,,,,,,
20161018,L63,6.3,6.3,6.3,6.3,1500.0,6.3,6.3,6.3,6.3,0.0,0.0,0.0
20161019,L63,5.5,5.5,5.5,5.5,3300.0,5.5,5.5,5.5,5.5,0.0,0.0,0.0
20161020,L63,4.7,4.7,4.7,4.7,3000.0,4.7,4.7,4.7,4.7,0.0,0.0,0.0
20161021,L63,4.2,4.2,4.0,4.0,10700.0,4.2,4.2,4.0,4.0,0.0,0.0,0.0
20161022,L63,4.35,4.35,4.25,4.25,,,,,,,,
20161023,L63,4.425,4.425,4.375,4.375,,,,,,,,
20161024,L63,4.4625,4.4625,4.4375,4.4375,,,,,,,,
20161025,L63,4.5,4.5,4.5,4.5,1000.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0
20161026,L63,4.0,4.0,4.0,4.0,8000.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
20161027,L63,4.5,4.5,4.5,4.5,600.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0
20161028,L63,5.0,5.0,5.0,5.0,800.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
20161029,L63,5.0,5.0,4.65,5.0,,,,,,,,
20161030,L63,5.0,5.0,4.475,5.0,,,,,,,,
20161031,L63,5.0,5.0,4.3,5.0,1200.0,5.0,5.0,4.3,5.0,0.0,0.0,0.0
20161032,L63,5.15,5.15,4.8,5.15,,,,,,,,
20161033,L63,5.225,5.225,5.05,5.225,,,,,,,,
20161034,L63,5.2625,5.2625,5.175,5.2625,,,,,,,,
20161035,L63,5.28125,5.28125,5.2375,5.28125,,,,,,,,
20161036,L63,5.290625,5.290625,5.26875,5.290625,,,,,,,,
20161037,L63,5.2953125,5.2953125,5.284375,5.2953125,,,,,,,,
20161038,L63,5.29765625,5.29765625,5.2921875,5.29765625,,,,,,,,
20161039,L63,5.298828125,5.298828125,5.29609375,5.298828125,,,,,,,,
20161040,L63,5.2994140625,5.2994140625,5.298046875,5.2994140625,,,,,,,,
20161041,L63,5.29970703125,5.29970703125,5.2990234375,5.29970703125,,,,,,,,
20161042,L63,5.29985351562,5.29985351562,5.29951171875,5.29985351562,,,,,,,,
20161043,L63,5.29992675781,5.29992675781,5.29975585937,5.29992675781,,,,,,,,
20161044,L63,5.29996337891,5.29996337891,5.29987792969,5.29996337891,,,,,,,,
20161045,L63,5.29998168945,5.29998168945,5.29993896484,5.29998168945,,,,,,,,
20161046,L63,5.29999084473,5.29999084473,5.29996948242,5.29999084473,,,,,,,,
20161047,L63,5.29999542236,5.29999542236,5.29998474121,5.29999542236,,,,,,,,
20161048,L63,5.29999771118,5.29999771118,5.29999237061,5.29999771118,,,,,,,,
20161049,L63,5.29999885559,5.29999885559,5.2999961853,5.29999885559,,,,,,,,
