<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20120301,LAS,5.23,6.35,5.23,6.35,70100.0,18.2,22.1,18.2,22.1,0.0,0.0,0.0
20120302,LAS,6.75,6.75,6.32,6.32,25700.0,23.5,23.5,22.0,22.0,0.0,0.0,0.0
20120303,LAS,6.39,6.68,6.16,6.395,,,,,,,,
20120304,LAS,6.21,6.645,6.08,6.4325,,,,,,,,
20120305,LAS,6.03,6.61,6.0,6.47,86100.0,21.0,23.0,20.9,22.5,0.0,0.0,0.0
20120306,LAS,6.61,6.61,6.15,6.18,20400.0,23.0,23.0,21.4,21.5,0.0,0.0,0.0
20120307,LAS,5.89,5.89,5.78,5.81,36900.0,20.5,20.5,20.1,20.2,0.0,0.0,0.0
20120308,LAS,5.55,5.61,5.46,5.6,34800.0,19.3,19.5,19.0,19.5,8000.0,0.0,0.0
20120309,LAS,5.57,5.8,5.57,5.69,207300.0,19.4,20.2,19.4,19.8,0.0,0.0,0.0
20120310,LAS,5.66,5.915,5.66,5.775,,,,,,,,
20120311,LAS,5.705,5.9725,5.705,5.8175,,,,,,,,
20120312,LAS,5.75,6.03,5.75,5.86,136000.0,20.0,21.0,20.0,20.4,0.0,0.0,0.0
20120313,LAS,5.8,5.92,5.8,5.83,93500.0,20.2,20.6,20.2,20.3,0.0,0.0,0.0
20120314,LAS,5.77,5.92,5.74,5.92,76700.0,20.1,20.6,20.0,20.6,0.0,0.0,0.0
20120315,LAS,5.75,6.03,5.75,5.95,28700.0,20.0,21.0,20.0,20.7,0.0,0.0,0.0
20120316,LAS,5.95,6.35,5.95,6.35,163100.0,20.7,22.1,20.7,22.1,0.0,32700.0,0.0
20120317,LAS,6.18,6.55,6.18,6.55,,,,,,,,
20120318,LAS,6.295,6.65,6.295,6.65,,,,,,,,
20120319,LAS,6.41,6.75,6.41,6.75,206500.0,22.3,23.5,22.3,23.5,0.0,96100.0,0.0
20120320,LAS,7.12,7.18,7.07,7.18,587300.0,24.8,25.0,24.6,25.0,0.0,100000.0,0.0
20120321,LAS,7.64,7.64,7.55,7.64,223800.0,26.6,26.6,26.3,26.6,0.0,0.0,0.0
20120322,LAS,7.9,7.9,7.12,7.16,90300.0,27.5,27.5,24.8,24.9,0.0,0.0,6900.0
20120323,LAS,7.1,7.3,6.93,6.98,109500.0,24.7,25.4,24.1,24.3,0.0,0.0,13800.0
20120324,LAS,6.995,7.11,6.785,6.81,,,,,,,,
20120325,LAS,6.9425,7.015,6.7125,6.725,,,,,,,,
20120326,LAS,6.89,6.92,6.64,6.64,165400.0,24.0,24.1,23.1,23.1,0.0,0.0,22100.0
20120327,LAS,6.61,7.1,6.53,6.73,103100.0,23.0,24.7,22.7,23.4,0.0,0.0,20500.0
20120328,LAS,6.61,6.96,6.61,6.87,29700.0,23.0,24.2,23.0,23.9,0.0,0.0,11000.0
20120329,LAS,6.96,6.96,6.73,6.73,117500.0,24.2,24.2,23.4,23.4,50.0,0.0,19500.0
20120330,LAS,6.73,6.82,6.73,6.75,44000.0,23.4,23.7,23.4,23.5,5000.0,0.0,0.0
20120331,LAS,6.695,6.83,6.695,6.765,,,,,,,,
20120332,LAS,6.6775,6.835,6.6775,6.7725,,,,,,,,
20120333,LAS,6.66875,6.8375,6.66875,6.77625,,,,,,,,
20120334,LAS,6.664375,6.83875,6.664375,6.778125,,,,,,,,
20120335,LAS,6.6621875,6.839375,6.6621875,6.7790625,,,,,,,,
20120336,LAS,6.66109375,6.8396875,6.66109375,6.77953125,,,,,,,,
20120337,LAS,6.660546875,6.83984375,6.660546875,6.779765625,,,,,,,,
20120338,LAS,6.6602734375,6.839921875,6.6602734375,6.7798828125,,,,,,,,
20120339,LAS,6.66013671875,6.8399609375,6.66013671875,6.77994140625,,,,,,,,
20120340,LAS,6.66006835937,6.83998046875,6.66006835937,6.77997070313,,,,,,,,
20120341,LAS,6.66003417969,6.83999023437,6.66003417969,6.77998535156,,,,,,,,
20120342,LAS,6.66001708984,6.83999511719,6.66001708984,6.77999267578,,,,,,,,
20120343,LAS,6.66000854492,6.83999755859,6.66000854492,6.77999633789,,,,,,,,
20120344,LAS,6.66000427246,6.8399987793,6.66000427246,6.77999816895,,,,,,,,
20120345,LAS,6.66000213623,6.83999938965,6.66000213623,6.77999908447,,,,,,,,
20120346,LAS,6.66000106812,6.83999969482,6.66000106812,6.77999954224,,,,,,,,
20120347,LAS,6.66000053406,6.83999984741,6.66000053406,6.77999977112,,,,,,,,
20120348,LAS,6.66000026703,6.83999992371,6.66000026703,6.77999988556,,,,,,,,
20120349,LAS,6.66000013351,6.83999996185,6.66000013351,6.77999994278,,,,,,,,
20120350,LAS,6.66000006676,6.83999998093,6.66000006676,6.77999997139,,,,,,,,
20120351,LAS,6.66000003338,6.83999999046,6.66000003338,6.77999998569,,,,,,,,
20120352,LAS,6.66000001669,6.83999999523,6.66000001669,6.77999999285,,,,,,,,
20120353,LAS,6.66000000834,6.83999999762,6.66000000834,6.77999999642,,,,,,,,
20120354,LAS,6.66000000417,6.83999999881,6.66000000417,6.77999999821,,,,,,,,
20120355,LAS,6.66000000209,6.8399999994,6.66000000209,6.77999999911,,,,,,,,
20120356,LAS,6.66000000104,6.8399999997,6.66000000104,6.77999999955,,,,,,,,
20120357,LAS,6.66000000052,6.83999999985,6.66000000052,6.77999999978,,,,,,,,
20120358,LAS,6.66000000026,6.83999999993,6.66000000026,6.77999999989,,,,,,,,
20120359,LAS,6.66000000013,6.83999999996,6.66000000013,6.77999999994,,,,,,,,
20120360,LAS,6.66000000007,6.83999999998,6.66000000007,6.77999999997,,,,,,,,
20120361,LAS,6.66000000003,6.83999999999,6.66000000003,6.77999999999,,,,,,,,
20120362,LAS,6.66000000002,6.84,6.66000000002,6.77999999999,,,,,,,,
20120363,LAS,6.66000000001,6.84,6.66000000001,6.78,,,,,,,,
20120364,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120365,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120366,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120367,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120368,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120369,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120370,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120371,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120372,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120373,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120374,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120375,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120376,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120377,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120378,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120379,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120380,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120381,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120382,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120383,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120384,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120385,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120386,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120387,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120388,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120389,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120390,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120391,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120392,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120393,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120394,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120395,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120396,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120397,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120398,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120399,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120400,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120401,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120402,LAS,6.66,6.84,6.66,6.78,,,,,,,,
20120403,LAS,6.66,6.84,6.66,6.78,36900.0,23.2,23.8,23.2,23.6,0.0,0.0,0.0
20120404,LAS,6.75,6.87,6.72,6.73,46500.0,23.5,23.9,23.4,23.4,13400.0,0.0,0.0
20120405,LAS,6.76,7.19,6.76,6.9,56300.0,23.5,25.0,23.5,24.0,0.0,0.0,0.0
20120406,LAS,7.01,7.01,6.76,6.9,102800.0,24.4,24.4,23.5,24.0,0.0,0.0,50000.0
20120407,LAS,6.955,7.17,6.815,7.115,,,,,,,,
20120408,LAS,6.9275,7.25,6.8425,7.2225,,,,,,,,
20120409,LAS,6.9,7.33,6.87,7.33,259900.0,24.0,25.5,23.9,25.5,5000.0,2900.0,0.0
20120410,LAS,7.33,7.62,7.19,7.47,85200.0,25.5,26.5,25.0,26.0,13400.0,0.0,3000.0
20120411,LAS,7.41,7.47,7.24,7.47,65300.0,25.8,26.0,25.2,26.0,50.0,27700.0,0.0
20120412,LAS,7.5,7.7,7.47,7.53,164800.0,26.1,26.8,26.0,26.2,0.0,29000.0,0.0
20120413,LAS,7.73,7.73,7.36,7.44,116000.0,26.9,26.9,25.6,25.9,0.0,70200.0,0.0
20120414,LAS,7.64,7.77,7.43,7.615,,,,,,,,
20120415,LAS,7.595,7.79,7.465,7.7025,,,,,,,,
20120416,LAS,7.55,7.81,7.5,7.79,183800.0,26.3,27.2,26.1,27.1,0.0,0.0,0.0
20120417,LAS,8.05,8.31,7.85,8.28,340200.0,28.0,28.9,27.3,28.8,0.0,0.0,0.0
20120418,LAS,8.31,8.42,8.14,8.13,71400.0,28.9,29.3,28.3,28.3,0.0,0.0,0.0
20120419,LAS,8.13,8.19,7.96,7.96,106900.0,28.3,28.5,27.7,27.7,0.0,0.0,0.0
20120420,LAS,7.85,8.05,7.85,8.05,50200.0,27.3,28.0,27.3,28.0,0.0,0.0,0.0
20120421,LAS,7.95,8.065,7.905,8.065,,,,,,,,
20120422,LAS,8.0,8.0725,7.9325,8.0725,,,,,,,,
20120423,LAS,8.05,8.08,7.96,8.08,58100.0,28.0,28.1,27.7,28.1,0.0,0.0,0.0
20120424,LAS,7.96,8.14,7.96,8.13,24300.0,27.7,28.3,27.7,28.3,0.0,0.0,0.0
20120425,LAS,8.39,8.47,8.19,8.31,101300.0,29.2,29.5,28.5,28.9,0.0,0.0,0.0
20120426,LAS,8.43,8.48,8.28,8.28,72200.0,29.3,29.5,28.8,28.8,0.0,0.0,0.0
