<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20160426,MCI,3.5,3.5,3.5,3.5,1000.0,3.5,3.5,3.5,3.5,0.0,0.0,0.0
20160427,MCI,4.2,4.2,4.2,4.2,,,,,,,,
20160428,MCI,4.55,4.55,4.55,4.55,,,,,,,,
20160429,MCI,4.725,4.725,4.725,4.725,,,,,,,,
20160430,MCI,4.8125,4.8125,4.8125,4.8125,,,,,,,,
20160431,MCI,4.85625,4.85625,4.85625,4.85625,,,,,,,,
20160432,MCI,4.878125,4.878125,4.878125,4.878125,,,,,,,,
20160433,MCI,4.8890625,4.8890625,4.8890625,4.8890625,,,,,,,,
20160434,MCI,4.89453125,4.89453125,4.89453125,4.89453125,,,,,,,,
20160435,MCI,4.897265625,4.897265625,4.897265625,4.897265625,,,,,,,,
20160436,MCI,4.8986328125,4.8986328125,4.8986328125,4.8986328125,,,,,,,,
20160437,MCI,4.89931640625,4.89931640625,4.89931640625,4.89931640625,,,,,,,,
20160438,MCI,4.89965820312,4.89965820312,4.89965820312,4.89965820312,,,,,,,,
20160439,MCI,4.89982910156,4.89982910156,4.89982910156,4.89982910156,,,,,,,,
20160440,MCI,4.89991455078,4.89991455078,4.89991455078,4.89991455078,,,,,,,,
20160441,MCI,4.89995727539,4.89995727539,4.89995727539,4.89995727539,,,,,,,,
20160442,MCI,4.8999786377,4.8999786377,4.8999786377,4.8999786377,,,,,,,,
20160443,MCI,4.89998931885,4.89998931885,4.89998931885,4.89998931885,,,,,,,,
20160444,MCI,4.89999465942,4.89999465942,4.89999465942,4.89999465942,,,,,,,,
20160445,MCI,4.89999732971,4.89999732971,4.89999732971,4.89999732971,,,,,,,,
20160446,MCI,4.89999866486,4.89999866486,4.89999866486,4.89999866486,,,,,,,,
20160447,MCI,4.89999933243,4.89999933243,4.89999933243,4.89999933243,,,,,,,,
20160448,MCI,4.89999966621,4.89999966621,4.89999966621,4.89999966621,,,,,,,,
20160449,MCI,4.89999983311,4.89999983311,4.89999983311,4.89999983311,,,,,,,,
20160450,MCI,4.89999991655,4.89999991655,4.89999991655,4.89999991655,,,,,,,,
20160451,MCI,4.89999995828,4.89999995828,4.89999995828,4.89999995828,,,,,,,,
20160452,MCI,4.89999997914,4.89999997914,4.89999997914,4.89999997914,,,,,,,,
