<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20101216,MNC,4.69,4.93,4.69,4.74,10900.0,10.0,10.5,10.0,10.1,0.0,0.0,0.0
20101217,MNC,4.69,5.12,4.6,4.74,17000.0,10.0,10.9,9.8,10.1,0.0,0.0,0.0
20101218,MNC,4.925,5.14,4.645,4.715,,,,,,,,
20101219,MNC,5.0425,5.15,4.6675,4.7025,,,,,,,,
20101220,MNC,5.16,5.16,4.69,4.69,9700.0,11.0,11.0,10.0,10.0,0.0,0.0,0.0
20101221,MNC,4.55,4.55,4.55,4.55,2000.0,9.7,9.7,9.7,9.7,0.0,0.0,0.0
20101222,MNC,4.83,4.83,4.74,4.79,1800.0,10.3,10.3,10.1,10.2,0.0,0.0,0.0
20101223,MNC,4.41,4.51,4.41,4.41,3200.0,9.4,9.6,9.4,9.4,0.0,0.0,0.0
20101224,MNC,4.74,4.74,4.74,4.74,100.0,10.1,10.1,10.1,10.1,0.0,0.0,0.0
20101225,MNC,4.905,4.905,4.715,4.715,,,,,,,,
20101226,MNC,4.9875,4.9875,4.7025,4.7025,,,,,,,,
20101227,MNC,5.07,5.07,4.69,4.69,1000.0,10.8,10.8,10.0,10.0,0.0,0.0,0.0
20101228,MNC,4.74,4.74,4.41,4.41,6600.0,10.1,10.1,9.4,9.4,0.0,0.0,0.0
20101229,MNC,4.22,4.22,4.18,4.18,11600.0,9.0,9.0,8.9,8.9,0.0,0.0,0.0
20101230,MNC,4.46,4.46,4.46,4.46,100.0,9.5,9.5,9.5,9.5,0.0,0.0,0.0
20101231,MNC,4.69,4.69,4.55,4.55,200.0,10.0,10.0,9.7,9.7,0.0,0.0,0.0
20101232,MNC,4.69,4.69,4.55,4.55,,,,,,,,
20101233,MNC,4.69,4.69,4.55,4.55,,,,,,,,
20101234,MNC,4.69,4.69,4.55,4.55,,,,,,,,
20101235,MNC,4.69,4.69,4.55,4.55,,,,,,,,
20101236,MNC,4.69,4.69,4.55,4.55,,,,,,,,
20101237,MNC,4.69,4.69,4.55,4.55,,,,,,,,
20101238,MNC,4.69,4.69,4.55,4.55,,,,,,,,
20101239,MNC,4.69,4.69,4.55,4.55,,,,,,,,
20101240,MNC,4.69,4.69,4.55,4.55,,,,,,,,
20101241,MNC,4.69,4.69,4.55,4.55,,,,,,,,
20101242,MNC,4.69,4.69,4.55,4.55,,,,,,,,
20101243,MNC,4.69,4.69,4.55,4.55,,,,,,,,
