<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20161014,MVB,14.23,14.23,14.23,14.23,400.0,14.4,14.4,14.4,14.4,0.0,0.0,0.0
20161015,MVB,13.19,13.19,13.19,13.195,,,,,,,,
20161016,MVB,12.67,12.67,12.67,12.6775,,,,,,,,
20161017,MVB,12.41,12.41,12.41,12.41875,,,,,,,,
20161018,MVB,12.28,12.28,12.28,12.289375,,,,,,,,
20161019,MVB,12.15,12.15,12.15,12.16,100.0,12.3,12.3,12.3,12.3,0.0,0.0,0.0
20161020,MVB,13.045,13.045,11.265,12.01,,,,,,,,
20161021,MVB,13.94,13.94,10.38,11.86,701.0,14.1,14.1,10.5,12.0,0.0,0.0,0.0
20161022,MVB,12.605,12.9,10.825,11.86,,,,,,,,
20161023,MVB,11.9375,12.38,11.0475,11.86,,,,,,,,
20161024,MVB,11.27,11.86,11.27,11.86,600.0,11.4,12.0,11.4,12.0,0.0,0.0,0.0
20161025,MVB,13.44,13.44,13.44,13.44,500.0,13.6,13.6,13.6,13.6,0.0,0.0,0.0
20161026,MVB,14.82,14.82,11.46,13.24,1600.0,15.0,15.0,11.6,13.4,0.0,0.0,0.0
20161027,MVB,11.17,13.44,11.17,11.17,700.0,11.3,13.6,11.3,11.3,0.0,0.0,0.0
20161028,MVB,10.68,10.68,10.68,10.67,300.0,10.8,10.8,10.8,10.8,0.0,0.0,0.0
20161029,MVB,11.365,11.365,9.935,9.93,,,,,,,,
20161030,MVB,11.7075,11.7075,9.5625,9.56,,,,,,,,
20161031,MVB,12.05,12.05,9.19,9.19,300.0,12.2,12.2,9.3,9.3,0.0,0.0,0.0
20161032,MVB,10.77,11.46,9.34,10.03,,,,,,,,
20161033,MVB,10.13,11.165,9.415,10.45,,,,,,,,
20161034,MVB,9.81,11.0175,9.4525,10.66,,,,,,,,
20161035,MVB,9.65,10.94375,9.47125,10.765,,,,,,,,
20161036,MVB,9.57,10.906875,9.480625,10.8175,,,,,,,,
20161037,MVB,9.53,10.8884375,9.4853125,10.84375,,,,,,,,
20161038,MVB,9.51,10.87921875,9.48765625,10.856875,,,,,,,,
20161039,MVB,9.5,10.874609375,9.488828125,10.8634375,,,,,,,,
20161040,MVB,9.495,10.8723046875,9.4894140625,10.86671875,,,,,,,,
20161041,MVB,9.4925,10.8711523437,9.48970703125,10.868359375,,,,,,,,
20161042,MVB,9.49125,10.8705761719,9.48985351563,10.8691796875,,,,,,,,
20161043,MVB,9.490625,10.8702880859,9.48992675781,10.8695898437,,,,,,,,
20161044,MVB,9.4903125,10.870144043,9.48996337891,10.8697949219,,,,,,,,
20161045,MVB,9.49015625,10.8700720215,9.48998168945,10.8698974609,,,,,,,,
20161046,MVB,9.490078125,10.8700360107,9.48999084473,10.8699487305,,,,,,,,
20161047,MVB,9.4900390625,10.8700180054,9.48999542236,10.8699743652,,,,,,,,
20161048,MVB,9.49001953125,10.8700090027,9.48999771118,10.8699871826,,,,,,,,
20161049,MVB,9.49000976563,10.8700045013,9.48999885559,10.8699935913,,,,,,,,
20161050,MVB,9.49000488281,10.8700022507,9.4899994278,10.8699967957,,,,,,,,
20161051,MVB,9.49000244141,10.8700011253,9.4899997139,10.8699983978,,,,,,,,
20161052,MVB,9.4900012207,10.8700005627,9.48999985695,10.8699991989,,,,,,,,
20161053,MVB,9.49000061035,10.8700002813,9.48999992847,10.8699995995,,,,,,,,
20161054,MVB,9.49000030518,10.8700001407,9.48999996424,10.8699997997,,,,,,,,
20161055,MVB,9.49000015259,10.8700000703,9.48999998212,10.8699998999,,,,,,,,
20161056,MVB,9.49000007629,10.8700000352,9.48999999106,10.8699999499,,,,,,,,
