<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20090806,NBP,12.29,14.18,11.81,12.76,581600.0,26.0,30.0,25.0,27.0,0.0,0.0,0.0
20090807,NBP,13.23,13.28,12.76,13.28,315900.0,28.0,28.1,27.0,28.1,0.0,0.0,0.0
20090808,NBP,13.705,13.73,13.35,13.73,,,,,,,,
20090809,NBP,13.9425,13.955,13.645,13.955,,,,,,,,
20090810,NBP,14.18,14.18,13.94,14.18,637900.0,30.0,30.0,29.5,30.0,0.0,100.0,0.0
20090811,NBP,15.17,15.17,14.23,15.12,441900.0,32.1,32.1,30.1,32.0,0.0,0.0,0.0
20090812,NBP,14.65,14.84,13.94,14.18,319800.0,31.0,31.4,29.5,30.0,0.0,0.0,0.0
20090813,NBP,14.27,14.98,14.27,14.6,463800.0,30.2,31.7,30.2,30.9,0.0,0.0,0.0
20090814,NBP,14.6,15.54,14.55,15.55,612300.0,30.9,32.9,30.8,32.9,100000.0,0.0,0.0
20090815,NBP,15.36,15.83,15.075,15.835,,,,,,,,
20090816,NBP,15.74,15.975,15.3375,15.9775,,,,,,,,
20090817,NBP,16.12,16.12,15.6,16.12,521200.0,34.1,34.1,33.0,34.1,100000.0,0.0,0.0
20090818,NBP,16.07,17.21,16.03,17.2,558900.0,34.0,36.4,33.9,36.4,0.0,0.0,0.0
20090819,NBP,17.06,18.0,17.01,17.96,866400.0,36.1,38.1,36.0,38.0,0.0,0.0,0.0
20090820,NBP,18.67,18.67,16.73,17.77,745900.0,39.5,39.5,35.4,37.6,0.0,0.0,0.0
20090821,NBP,17.49,17.96,16.54,17.25,351400.0,37.0,38.0,35.0,36.5,0.0,0.0,0.0
20090822,NBP,17.44,17.675,16.495,16.85,,,,,,,,
20090823,NBP,17.415,17.5325,16.4725,16.65,,,,,,,,
20090824,NBP,17.39,17.39,16.45,16.45,226300.0,36.8,36.8,34.8,34.8,0.0,0.0,0.0
20090825,NBP,16.31,17.68,16.31,17.68,467000.0,34.5,37.4,34.5,37.4,0.0,0.0,0.0
20090826,NBP,17.25,18.34,17.25,18.34,603100.0,36.5,38.8,36.5,38.8,10000.0,0.0,4000.0
20090827,NBP,19.38,19.57,18.06,18.43,202300.0,41.0,41.4,38.2,39.0,0.0,1000.0,0.0
20090828,NBP,18.67,18.67,18.0,18.29,177300.0,39.5,39.5,38.1,38.7,0.0,0.0,0.0
20090829,NBP,18.435,18.695,18.1,18.48,,,,,,,,
20090830,NBP,18.3175,18.7075,18.15,18.575,,,,,,,,
20090831,NBP,18.2,18.72,18.2,18.67,675900.0,38.5,39.6,38.5,39.5,0.0,0.0,0.0
20090832,NBP,18.365,18.695,18.08,18.55,,,,,,,,
20090833,NBP,18.4475,18.6825,18.02,18.49,,,,,,,,
20090834,NBP,18.48875,18.67625,17.99,18.46,,,,,,,,
20090835,NBP,18.509375,18.673125,17.975,18.445,,,,,,,,
20090836,NBP,18.5196875,18.6715625,17.9675,18.4375,,,,,,,,
20090837,NBP,18.52484375,18.67078125,17.96375,18.43375,,,,,,,,
20090838,NBP,18.527421875,18.670390625,17.961875,18.431875,,,,,,,,
20090839,NBP,18.5287109375,18.6701953125,17.9609375,18.4309375,,,,,,,,
20090840,NBP,18.5293554688,18.6700976563,17.96046875,18.43046875,,,,,,,,
20090841,NBP,18.5296777344,18.6700488281,17.960234375,18.430234375,,,,,,,,
20090842,NBP,18.5298388672,18.6700244141,17.9601171875,18.4301171875,,,,,,,,
20090843,NBP,18.5299194336,18.670012207,17.9600585937,18.4300585937,,,,,,,,
20090844,NBP,18.5299597168,18.6700061035,17.9600292969,18.4300292969,,,,,,,,
