<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20121122,PID,11.0,11.0,6.5,6.5,700.0,11.0,11.0,6.5,6.5,0.0,0.0,0.0
20121123,PID,8.95,8.95,6.7,6.7,,,,,,,,
20121124,PID,7.925,7.925,6.8,6.8,,,,,,,,
20121125,PID,7.4125,7.4125,6.85,6.85,,,,,,,,
20121126,PID,7.15625,7.15625,6.875,6.875,,,,,,,,
20121127,PID,6.9,6.9,6.9,6.9,200.0,6.9,6.9,6.9,6.9,0.0,0.0,0.0
20121128,PID,7.0,7.0,7.0,7.0,,,,,,,,
20121129,PID,7.05,7.05,7.05,7.05,,,,,,,,
20121130,PID,7.075,7.075,7.075,7.075,,,,,,,,
20121131,PID,7.0875,7.0875,7.0875,7.0875,,,,,,,,
20121132,PID,7.09375,7.09375,7.09375,7.09375,,,,,,,,
20121133,PID,7.096875,7.096875,7.096875,7.096875,,,,,,,,
20121134,PID,7.0984375,7.0984375,7.0984375,7.0984375,,,,,,,,
20121135,PID,7.09921875,7.09921875,7.09921875,7.09921875,,,,,,,,
20121136,PID,7.099609375,7.099609375,7.099609375,7.099609375,,,,,,,,
20121137,PID,7.0998046875,7.0998046875,7.0998046875,7.0998046875,,,,,,,,
20121138,PID,7.09990234375,7.09990234375,7.09990234375,7.09990234375,,,,,,,,
20121139,PID,7.09995117187,7.09995117187,7.09995117187,7.09995117187,,,,,,,,
20121140,PID,7.09997558594,7.09997558594,7.09997558594,7.09997558594,,,,,,,,
20121141,PID,7.09998779297,7.09998779297,7.09998779297,7.09998779297,,,,,,,,
20121142,PID,7.09999389648,7.09999389648,7.09999389648,7.09999389648,,,,,,,,
20121143,PID,7.09999694824,7.09999694824,7.09999694824,7.09999694824,,,,,,,,
20121144,PID,7.09999847412,7.09999847412,7.09999847412,7.09999847412,,,,,,,,
20121145,PID,7.09999923706,7.09999923706,7.09999923706,7.09999923706,,,,,,,,
20121146,PID,7.09999961853,7.09999961853,7.09999961853,7.09999961853,,,,,,,,
20121147,PID,7.09999980927,7.09999980927,7.09999980927,7.09999980927,,,,,,,,
20121148,PID,7.09999990463,7.09999990463,7.09999990463,7.09999990463,,,,,,,,
20121149,PID,7.09999995232,7.09999995232,7.09999995232,7.09999995232,,,,,,,,
20121150,PID,7.09999997616,7.09999997616,7.09999997616,7.09999997616,,,,,,,,
20121151,PID,7.09999998808,7.09999998808,7.09999998808,7.09999998808,,,,,,,,
20121152,PID,7.09999999404,7.09999999404,7.09999999404,7.09999999404,,,,,,,,
20121153,PID,7.09999999702,7.09999999702,7.09999999702,7.09999999702,,,,,,,,
20121154,PID,7.09999999851,7.09999999851,7.09999999851,7.09999999851,,,,,,,,
20121155,PID,7.09999999925,7.09999999925,7.09999999925,7.09999999925,,,,,,,,
20121156,PID,7.09999999963,7.09999999963,7.09999999963,7.09999999963,,,,,,,,
20121157,PID,7.09999999981,7.09999999981,7.09999999981,7.09999999981,,,,,,,,
20121158,PID,7.09999999991,7.09999999991,7.09999999991,7.09999999991,,,,,,,,
20121159,PID,7.09999999995,7.09999999995,7.09999999995,7.09999999995,,,,,,,,
20121160,PID,7.09999999998,7.09999999998,7.09999999998,7.09999999998,,,,,,,,
20121161,PID,7.09999999999,7.09999999999,7.09999999999,7.09999999999,,,,,,,,
20121162,PID,7.09999999999,7.09999999999,7.09999999999,7.09999999999,,,,,,,,
20121163,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121164,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121165,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121166,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121167,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121168,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121169,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121170,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121171,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121172,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121173,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121174,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121175,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121176,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121177,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121178,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121179,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121180,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121181,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121182,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121183,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121184,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121185,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121186,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121187,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121188,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121189,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121190,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121191,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121192,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121193,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121194,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121195,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121196,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121197,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121198,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121199,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121200,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121201,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121202,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121203,PID,7.1,7.1,7.1,7.1,,,,,,,,
20121204,PID,7.1,7.1,7.1,7.1,100.0,7.1,7.1,7.1,7.1,0.0,0.0,0.0
20121205,PID,6.9,6.9,6.9,6.9,,,,,,,,
20121206,PID,6.8,6.8,6.8,6.8,,,,,,,,
20121207,PID,6.75,6.75,6.75,6.75,,,,,,,,
20121208,PID,6.725,6.725,6.725,6.725,,,,,,,,
20121209,PID,6.7125,6.7125,6.7125,6.7125,,,,,,,,
20121210,PID,6.7,6.7,6.7,6.7,200.0,6.7,6.7,6.7,6.7,0.0,0.0,0.0
20121211,PID,6.85,6.85,6.85,6.85,,,,,,,,
20121212,PID,6.925,6.925,6.925,6.925,,,,,,,,
20121213,PID,6.9625,6.9625,6.9625,6.9625,,,,,,,,
20121214,PID,6.98125,6.98125,6.98125,6.98125,,,,,,,,
20121215,PID,6.990625,6.990625,6.990625,6.990625,,,,,,,,
20121216,PID,6.9953125,6.9953125,6.9953125,6.9953125,,,,,,,,
20121217,PID,6.99765625,6.99765625,6.99765625,6.99765625,,,,,,,,
20121218,PID,6.998828125,6.998828125,6.998828125,6.998828125,,,,,,,,
20121219,PID,6.9994140625,6.9994140625,6.9994140625,6.9994140625,,,,,,,,
20121220,PID,6.99970703125,6.99970703125,6.99970703125,6.99970703125,,,,,,,,
20121221,PID,6.99985351563,6.99985351563,6.99985351563,6.99985351563,,,,,,,,
20121222,PID,6.99992675781,6.99992675781,6.99992675781,6.99992675781,,,,,,,,
20121223,PID,6.99996337891,6.99996337891,6.99996337891,6.99996337891,,,,,,,,
20121224,PID,7.0,7.0,7.0,7.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0
20121225,PID,6.95,6.95,6.95,6.95,,,,,,,,
20121226,PID,6.925,6.925,6.925,6.925,,,,,,,,
20121227,PID,6.9125,6.9125,6.9125,6.9125,,,,,,,,
20121228,PID,6.90625,6.90625,6.90625,6.90625,,,,,,,,
20121229,PID,6.903125,6.903125,6.903125,6.903125,,,,,,,,
20121230,PID,6.9015625,6.9015625,6.9015625,6.9015625,,,,,,,,
20121231,PID,6.90078125,6.90078125,6.90078125,6.90078125,,,,,,,,
20121232,PID,6.900390625,6.900390625,6.900390625,6.900390625,,,,,,,,
20121233,PID,6.9001953125,6.9001953125,6.9001953125,6.9001953125,,,,,,,,
20121234,PID,6.90009765625,6.90009765625,6.90009765625,6.90009765625,,,,,,,,
20121235,PID,6.90004882813,6.90004882813,6.90004882813,6.90004882813,,,,,,,,
