<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100818,PIV,14.45,27.1,14.45,18.43,35900.0,16.0,30.0,16.0,20.4,0.0,0.0,0.0
20100819,PIV,17.26,17.35,17.07,17.07,3900.0,19.1,19.2,18.9,18.9,0.0,0.0,0.0
20100820,PIV,16.08,16.08,15.99,15.99,6500.0,17.8,17.8,17.7,17.7,0.0,0.0,0.0
20100821,PIV,15.54,15.54,15.495,15.49,,,,,,,,
20100822,PIV,15.27,15.27,15.2475,15.24,,,,,,,,
20100823,PIV,15.0,15.0,15.0,14.99,500.0,16.6,16.6,16.6,16.6,0.0,0.0,0.0
20100824,PIV,14.99,14.99,14.0,14.0,1300.0,16.6,16.6,15.5,15.5,0.0,0.0,0.0
20100825,PIV,13.37,13.37,13.37,13.37,100.0,14.8,14.8,14.8,14.8,0.0,0.0,0.0
20100826,PIV,12.47,12.47,12.47,12.46,9200.0,13.8,13.8,13.8,13.8,0.0,0.0,0.0
20100827,PIV,11.65,11.65,11.65,11.65,9800.0,12.9,12.9,12.9,12.9,0.0,0.0,0.0
20100828,PIV,12.055,12.055,12.055,12.055,,,,,,,,
20100829,PIV,12.2575,12.2575,12.2575,12.2575,,,,,,,,
20100830,PIV,12.46,12.46,12.46,12.46,7600.0,13.8,13.8,13.8,13.8,0.0,0.0,0.0
20100831,PIV,11.74,13.18,11.74,12.56,4600.0,13.0,14.6,13.0,13.9,0.0,0.0,0.0
20100832,PIV,11.925,12.645,11.835,12.24,,,,,,,,
20100833,PIV,12.0175,12.3775,11.8825,12.08,,,,,,,,
20100834,PIV,12.06375,12.24375,11.90625,12.0,,,,,,,,
20100835,PIV,12.086875,12.176875,11.918125,11.96,,,,,,,,
20100836,PIV,12.0984375,12.1434375,11.9240625,11.94,,,,,,,,
20100837,PIV,12.10421875,12.12671875,11.92703125,11.93,,,,,,,,
20100838,PIV,12.107109375,12.118359375,11.928515625,11.925,,,,,,,,
20100839,PIV,12.1085546875,12.1141796875,11.9292578125,11.9225,,,,,,,,
20100840,PIV,12.1092773437,12.1120898437,11.9296289062,11.92125,,,,,,,,
20100841,PIV,12.1096386719,12.1110449219,11.9298144531,11.920625,,,,,,,,
20100842,PIV,12.1098193359,12.1105224609,11.9299072266,11.9203125,,,,,,,,
20100843,PIV,12.109909668,12.1102612305,11.9299536133,11.92015625,,,,,,,,
20100844,PIV,12.109954834,12.1101306152,11.9299768066,11.920078125,,,,,,,,
20100845,PIV,12.109977417,12.1100653076,11.9299884033,11.9200390625,,,,,,,,
20100846,PIV,12.1099887085,12.1100326538,11.9299942017,11.9200195312,,,,,,,,
20100847,PIV,12.1099943542,12.1100163269,11.9299971008,11.9200097656,,,,,,,,
20100848,PIV,12.1099971771,12.1100081635,11.9299985504,11.9200048828,,,,,,,,
20100849,PIV,12.1099985886,12.1100040817,11.9299992752,11.9200024414,,,,,,,,
20100850,PIV,12.1099992943,12.1100020409,11.9299996376,11.9200012207,,,,,,,,
20100851,PIV,12.1099996471,12.1100010204,11.9299998188,11.9200006104,,,,,,,,
20100852,PIV,12.1099998236,12.1100005102,11.9299999094,11.9200003052,,,,,,,,
20100853,PIV,12.1099999118,12.1100002551,11.9299999547,11.9200001526,,,,,,,,
20100854,PIV,12.1099999559,12.1100001276,11.9299999774,11.9200000763,,,,,,,,
20100855,PIV,12.1099999779,12.1100000638,11.9299999887,11.9200000381,,,,,,,,
20100856,PIV,12.109999989,12.1100000319,11.9299999943,11.9200000191,,,,,,,,
20100857,PIV,12.1099999945,12.1100000159,11.9299999972,11.9200000095,,,,,,,,
20100858,PIV,12.1099999972,12.110000008,11.9299999986,11.9200000048,,,,,,,,
20100859,PIV,12.1099999986,12.110000004,11.9299999993,11.9200000024,,,,,,,,
20100860,PIV,12.1099999993,12.110000002,11.9299999996,11.9200000012,,,,,,,,
20100861,PIV,12.1099999997,12.110000001,11.9299999998,11.9200000006,,,,,,,,
20100862,PIV,12.1099999998,12.1100000005,11.9299999999,11.9200000003,,,,,,,,
20100863,PIV,12.1099999999,12.1100000002,11.93,11.9200000001,,,,,,,,
20100864,PIV,12.11,12.1100000001,11.93,11.9200000001,,,,,,,,
20100865,PIV,12.11,12.1100000001,11.93,11.92,,,,,,,,
20100866,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100867,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100868,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100869,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100870,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100871,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100872,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100873,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100874,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100875,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100876,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100877,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100878,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100879,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100880,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100881,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100882,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100883,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100884,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100885,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100886,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100887,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100888,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100889,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100890,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100891,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100892,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100893,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100894,PIV,12.11,12.11,11.93,11.92,,,,,,,,
20100895,PIV,12.11,12.11,11.93,11.92,,,,,,,,
