<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20160405,PNG,14.79,14.79,14.79,14.79,200.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0
20160406,PNG,15.9,15.9,15.9,15.895,,,,,,,,
20160407,PNG,16.455,16.455,16.455,16.4475,,,,,,,,
20160408,PNG,16.7325,16.7325,16.7325,16.72375,,,,,,,,
20160409,PNG,16.87125,16.87125,16.87125,16.861875,,,,,,,,
20160410,PNG,16.940625,16.940625,16.940625,16.9309375,,,,,,,,
20160411,PNG,16.9753125,16.9753125,16.9753125,16.96546875,,,,,,,,
20160412,PNG,16.99265625,16.99265625,16.99265625,16.982734375,,,,,,,,
20160413,PNG,17.01,17.01,17.01,17.0,100.0,18.4,18.4,18.4,18.4,0.0,0.0,0.0
20160414,PNG,19.55,19.55,19.55,19.61,100.0,20.7,20.7,20.7,20.7,0.0,0.0,0.0
20160415,PNG,21.295,21.295,21.295,21.33,,,,,,,,
20160416,PNG,22.1675,22.1675,22.1675,22.19,,,,,,,,
20160417,PNG,22.60375,22.60375,22.60375,22.62,,,,,,,,
20160418,PNG,22.821875,22.821875,22.821875,22.835,,,,,,,,
20160419,PNG,22.9309375,22.9309375,22.9309375,22.9425,,,,,,,,
20160420,PNG,22.98546875,22.98546875,22.98546875,22.99625,,,,,,,,
20160421,PNG,23.012734375,23.012734375,23.012734375,23.023125,,,,,,,,
20160422,PNG,23.0263671875,23.0263671875,23.0263671875,23.0365625,,,,,,,,
20160423,PNG,23.0331835937,23.0331835937,23.0331835937,23.04328125,,,,,,,,
20160424,PNG,23.0365917969,23.0365917969,23.0365917969,23.046640625,,,,,,,,
20160425,PNG,23.0382958984,23.0382958984,23.0382958984,23.0483203125,,,,,,,,
20160426,PNG,23.0391479492,23.0391479492,23.0391479492,23.0491601563,,,,,,,,
20160427,PNG,23.0395739746,23.0395739746,23.0395739746,23.0495800781,,,,,,,,
20160428,PNG,23.0397869873,23.0397869873,23.0397869873,23.0497900391,,,,,,,,
20160429,PNG,23.0398934937,23.0398934937,23.0398934937,23.0498950195,,,,,,,,
20160430,PNG,23.0399467468,23.0399467468,23.0399467468,23.0499475098,,,,,,,,
20160431,PNG,23.0399733734,23.0399733734,23.0399733734,23.0499737549,,,,,,,,
20160432,PNG,23.0399866867,23.0399866867,23.0399866867,23.0499868774,,,,,,,,
20160433,PNG,23.0399933434,23.0399933434,23.0399933434,23.0499934387,,,,,,,,
20160434,PNG,23.0399966717,23.0399966717,23.0399966717,23.0499967194,,,,,,,,
20160435,PNG,23.0399983358,23.0399983358,23.0399983358,23.0499983597,,,,,,,,
20160436,PNG,23.0399991679,23.0399991679,23.0399991679,23.0499991798,,,,,,,,
20160437,PNG,23.039999584,23.039999584,23.039999584,23.0499995899,,,,,,,,
20160438,PNG,23.039999792,23.039999792,23.039999792,23.049999795,,,,,,,,
20160439,PNG,23.039999896,23.039999896,23.039999896,23.0499998975,,,,,,,,
20160440,PNG,23.039999948,23.039999948,23.039999948,23.0499999487,,,,,,,,
20160441,PNG,23.039999974,23.039999974,23.039999974,23.0499999744,,,,,,,,
20160442,PNG,23.039999987,23.039999987,23.039999987,23.0499999872,,,,,,,,
20160443,PNG,23.0399999935,23.0399999935,23.0399999935,23.0499999936,,,,,,,,
20160444,PNG,23.0399999967,23.0399999967,23.0399999967,23.0499999968,,,,,,,,
20160445,PNG,23.0399999984,23.0399999984,23.0399999984,23.0499999984,,,,,,,,
20160446,PNG,23.0399999992,23.0399999992,23.0399999992,23.0499999992,,,,,,,,
20160447,PNG,23.0399999996,23.0399999996,23.0399999996,23.0499999996,,,,,,,,
20160448,PNG,23.0399999998,23.0399999998,23.0399999998,23.0499999998,,,,,,,,
20160449,PNG,23.0399999999,23.0399999999,23.0399999999,23.0499999999,,,,,,,,
20160450,PNG,23.0399999999,23.0399999999,23.0399999999,23.0499999999,,,,,,,,
20160451,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160452,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160453,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160454,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160455,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160456,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160457,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160458,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160459,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160460,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160461,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160462,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160463,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160464,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160465,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160466,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160467,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160468,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160469,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160470,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160471,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160472,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160473,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160474,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160475,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160476,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160477,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160478,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160479,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160480,PNG,23.04,23.04,23.04,23.05,,,,,,,,
20160481,PNG,23.04,23.04,23.04,23.05,,,,,,,,
