<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100909,PVV,21.93,28.29,21.93,28.22,201400.0,31.0,40.0,31.0,39.9,0.0,0.0,0.0
20100910,PVV,28.29,28.29,26.17,26.88,65500.0,40.0,40.0,37.0,38.0,0.0,0.0,0.0
20100911,PVV,26.7,26.7,25.605,25.96,,,,,,,,
20100912,PVV,25.905,25.905,25.3225,25.5,,,,,,,,
20100913,PVV,25.11,25.11,25.04,25.04,12200.0,35.5,35.5,35.4,35.4,0.0,0.0,0.0
20100914,PVV,24.05,24.4,23.34,23.41,47800.0,34.0,34.5,33.0,33.1,0.0,0.0,0.0
20100915,PVV,22.07,22.07,22.0,22.0,11000.0,31.2,31.2,31.1,31.1,5000.0,0.0,0.0
20100916,PVV,20.51,20.51,20.51,20.51,17500.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0
20100917,PVV,19.1,21.92,19.1,21.93,113100.0,27.0,31.0,27.0,31.0,0.0,0.0,0.0
20100918,PVV,20.69,22.1,20.69,22.105,,,,,,,,
20100919,PVV,21.485,22.19,21.485,22.1925,,,,,,,,
20100920,PVV,22.28,22.28,22.28,22.28,59800.0,31.5,31.5,31.5,31.5,0.0,0.0,0.0
20100921,PVV,23.84,23.84,23.69,23.84,66900.0,33.7,33.7,33.5,33.7,0.0,0.0,0.0
20100922,PVV,25.4,25.4,25.33,25.39,82300.0,35.9,35.9,35.8,35.9,0.0,0.0,0.0
20100923,PVV,26.88,26.88,23.62,24.69,93500.0,38.0,38.0,33.4,34.9,0.0,0.0,0.0
20100924,PVV,25.82,25.82,23.49,23.56,27100.0,36.5,36.5,33.2,33.3,0.0,0.0,0.0
20100925,PVV,25.08,25.08,23.065,23.205,,,,,,,,
20100926,PVV,24.71,24.71,22.8525,23.0275,,,,,,,,
20100927,PVV,24.34,24.34,22.64,22.85,38300.0,34.4,34.4,32.0,32.3,0.0,0.0,0.0
20100928,PVV,23.63,23.7,22.78,22.99,42000.0,33.4,33.5,32.2,32.5,0.0,0.0,0.0
20100929,PVV,23.13,24.05,22.64,22.64,48100.0,32.7,34.0,32.0,32.0,0.0,0.0,0.0
20100930,PVV,22.64,23.35,22.43,22.64,15500.0,32.0,33.0,31.7,32.0,0.0,0.0,0.0
20100931,PVV,22.995,23.35,22.18,22.285,,,,,,,,
20100932,PVV,23.1725,23.35,22.055,22.1075,,,,,,,,
20100933,PVV,23.26125,23.35,21.9925,22.01875,,,,,,,,
20100934,PVV,23.305625,23.35,21.96125,21.974375,,,,,,,,
20100935,PVV,23.3278125,23.35,21.945625,21.9521875,,,,,,,,
20100936,PVV,23.33890625,23.35,21.9378125,21.94109375,,,,,,,,
20100937,PVV,23.344453125,23.35,21.93390625,21.935546875,,,,,,,,
20100938,PVV,23.3472265625,23.35,21.931953125,21.9327734375,,,,,,,,
20100939,PVV,23.3486132813,23.35,21.9309765625,21.9313867187,,,,,,,,
20100940,PVV,23.3493066406,23.35,21.9304882812,21.9306933594,,,,,,,,
20100941,PVV,23.3496533203,23.35,21.9302441406,21.9303466797,,,,,,,,
20100942,PVV,23.3498266602,23.35,21.9301220703,21.9301733398,,,,,,,,
20100943,PVV,23.3499133301,23.35,21.9300610352,21.9300866699,,,,,,,,
20100944,PVV,23.349956665,23.35,21.9300305176,21.930043335,,,,,,,,
20100945,PVV,23.3499783325,23.35,21.9300152588,21.9300216675,,,,,,,,
20100946,PVV,23.3499891663,23.35,21.9300076294,21.9300108337,,,,,,,,
20100947,PVV,23.3499945831,23.35,21.9300038147,21.9300054169,,,,,,,,
20100948,PVV,23.3499972916,23.35,21.9300019073,21.9300027084,,,,,,,,
20100949,PVV,23.3499986458,23.35,21.9300009537,21.9300013542,,,,,,,,
20100950,PVV,23.3499993229,23.35,21.9300004768,21.9300006771,,,,,,,,
20100951,PVV,23.3499996614,23.35,21.9300002384,21.9300003386,,,,,,,,
20100952,PVV,23.3499998307,23.35,21.9300001192,21.9300001693,,,,,,,,
20100953,PVV,23.3499999154,23.35,21.9300000596,21.9300000846,,,,,,,,
20100954,PVV,23.3499999577,23.35,21.9300000298,21.9300000423,,,,,,,,
20100955,PVV,23.3499999788,23.35,21.9300000149,21.9300000212,,,,,,,,
20100956,PVV,23.3499999894,23.35,21.9300000075,21.9300000106,,,,,,,,
20100957,PVV,23.3499999947,23.35,21.9300000037,21.9300000053,,,,,,,,
20100958,PVV,23.3499999974,23.35,21.9300000019,21.9300000026,,,,,,,,
20100959,PVV,23.3499999987,23.35,21.9300000009,21.9300000013,,,,,,,,
20100960,PVV,23.3499999993,23.35,21.9300000005,21.9300000007,,,,,,,,
20100961,PVV,23.3499999997,23.35,21.9300000002,21.9300000003,,,,,,,,
20100962,PVV,23.3499999998,23.35,21.9300000001,21.9300000002,,,,,,,,
20100963,PVV,23.3499999999,23.35,21.9300000001,21.9300000001,,,,,,,,
20100964,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100965,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100966,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100967,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100968,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100969,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100970,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100971,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100972,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100973,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100974,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100975,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100976,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100977,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100978,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100979,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100980,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100981,PVV,23.35,23.35,21.93,21.93,,,,,,,,
20100982,PVV,23.35,23.35,21.93,21.93,,,,,,,,
