<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20090819,PVX,18.37,18.37,15.41,17.71,5162900.0,28.0,28.0,23.5,27.0,0.0,28600.0,0.0
20090820,PVX,17.45,17.45,17.45,17.45,147800.0,26.6,26.6,26.6,26.6,150000.0,0.0,0.0
20090821,PVX,18.63,18.63,18.63,18.63,151600.0,28.4,28.4,28.4,28.4,100000.0,0.0,0.0
20090822,PVX,19.255,19.255,18.99,19.255,,,,,,,,
20090823,PVX,19.5675,19.5675,19.17,19.5675,,,,,,,,
20090824,PVX,19.88,19.88,19.35,19.88,3780600.0,30.3,30.3,29.5,30.3,0.0,38800.0,0.0
20090825,PVX,19.68,20.67,19.09,19.48,2284400.0,30.0,31.5,29.1,29.7,50000.0,800.0,0.0
20090826,PVX,19.87,19.87,19.02,19.42,1767800.0,30.3,30.3,29.0,29.6,0.0,10000.0,0.0
20090827,PVX,19.68,19.68,19.03,19.15,1227500.0,30.0,30.0,29.0,29.2,0.0,0.0,0.0
20090828,PVX,19.22,20.53,19.22,20.53,2545200.0,29.3,31.3,29.3,31.3,0.0,4700.0,7100.0
20090829,PVX,20.335,21.055,19.94,21.055,,,,,,,,
20090830,PVX,20.8925,21.3175,20.3,21.3175,,,,,,,,
20090831,PVX,21.45,21.58,20.66,21.58,1516000.0,32.7,32.9,31.5,32.9,0.0,21400.0,0.0
20090832,PVX,22.04,22.105,20.825,21.415,,,,,,,,
20090833,PVX,22.335,22.3675,20.9075,21.3325,,,,,,,,
20090834,PVX,22.4825,22.49875,20.94875,21.29125,,,,,,,,
20090835,PVX,22.55625,22.564375,20.969375,21.270625,,,,,,,,
20090836,PVX,22.593125,22.5971875,20.9796875,21.2603125,,,,,,,,
20090837,PVX,22.6115625,22.61359375,20.98484375,21.25515625,,,,,,,,
20090838,PVX,22.62078125,22.621796875,20.987421875,21.252578125,,,,,,,,
20090839,PVX,22.625390625,22.6258984375,20.9887109375,21.2512890625,,,,,,,,
20090840,PVX,22.6276953125,22.6279492187,20.9893554687,21.2506445312,,,,,,,,
20090841,PVX,22.6288476563,22.6289746094,20.9896777344,21.2503222656,,,,,,,,
20090842,PVX,22.6294238281,22.6294873047,20.9898388672,21.2501611328,,,,,,,,
20090843,PVX,22.6297119141,22.6297436523,20.9899194336,21.2500805664,,,,,,,,
20090844,PVX,22.629855957,22.6298718262,20.9899597168,21.2500402832,,,,,,,,
20090845,PVX,22.6299279785,22.6299359131,20.9899798584,21.2500201416,,,,,,,,
20090846,PVX,22.6299639893,22.6299679565,20.9899899292,21.2500100708,,,,,,,,
20090847,PVX,22.6299819946,22.6299839783,20.9899949646,21.2500050354,,,,,,,,
20090848,PVX,22.6299909973,22.6299919891,20.9899974823,21.2500025177,,,,,,,,
20090849,PVX,22.6299954987,22.6299959946,20.9899987411,21.2500012589,,,,,,,,
20090850,PVX,22.6299977493,22.6299979973,20.9899993706,21.2500006294,,,,,,,,
20090851,PVX,22.6299988747,22.6299989986,20.9899996853,21.2500003147,,,,,,,,
20090852,PVX,22.6299994373,22.6299994993,20.9899998426,21.2500001574,,,,,,,,
20090853,PVX,22.6299997187,22.6299997497,20.9899999213,21.2500000787,,,,,,,,
20090854,PVX,22.6299998593,22.6299998748,20.9899999607,21.2500000393,,,,,,,,
20090855,PVX,22.6299999297,22.6299999374,20.9899999803,21.2500000197,,,,,,,,
20090856,PVX,22.6299999648,22.6299999687,20.9899999902,21.2500000098,,,,,,,,
20090857,PVX,22.6299999824,22.6299999844,20.9899999951,21.2500000049,,,,,,,,
20090858,PVX,22.6299999912,22.6299999922,20.9899999975,21.2500000025,,,,,,,,
20090859,PVX,22.6299999956,22.6299999961,20.9899999988,21.2500000012,,,,,,,,
20090860,PVX,22.6299999978,22.629999998,20.9899999994,21.2500000006,,,,,,,,
20090861,PVX,22.6299999989,22.629999999,20.9899999997,21.2500000003,,,,,,,,
20090862,PVX,22.6299999995,22.6299999995,20.9899999998,21.2500000002,,,,,,,,
20090863,PVX,22.6299999997,22.6299999998,20.9899999999,21.2500000001,,,,,,,,
20090864,PVX,22.6299999999,22.6299999999,20.99,21.25,,,,,,,,
20090865,PVX,22.6299999999,22.6299999999,20.99,21.25,,,,,,,,
20090866,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090867,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090868,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090869,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090870,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090871,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090872,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090873,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090874,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090875,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090876,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090877,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090878,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090879,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090880,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090881,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090882,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090883,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090884,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090885,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090886,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090887,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090888,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090889,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090890,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090891,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090892,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090893,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090894,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090895,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090896,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090897,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090898,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090899,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090900,PVX,22.63,22.63,20.99,21.25,,,,,,,,
20090901,PVX,22.63,22.63,20.99,21.25,1179700.0,34.5,34.5,32.0,32.4,0.0,700.0,0.0
20090902,PVX,21.81,21.81,20.465,20.76,,,,,,,,
20090903,PVX,20.99,20.99,19.94,20.27,1364600.0,32.0,32.0,30.4,30.9,50000.0,0.0,0.0
20090904,PVX,20.27,20.86,19.55,19.94,1351400.0,30.9,31.8,29.8,30.4,0.0,1700.0,0.0
20090905,PVX,19.94,20.4,19.155,19.745,,,,,,,,
20090906,PVX,19.775,20.17,18.9575,19.6475,,,,,,,,
20090907,PVX,19.61,19.94,18.76,19.55,876500.0,29.9,30.4,28.6,29.8,0.0,2600.0,500.0
20090908,PVX,19.42,20.14,19.42,19.81,630300.0,29.6,30.7,29.6,30.2,30000.0,0.0,1000.0
20090909,PVX,20.01,20.01,19.48,19.55,443200.0,30.5,30.5,29.7,29.8,0.0,12200.0,0.0
20090910,PVX,19.68,19.68,19.29,19.35,456300.0,30.0,30.0,29.4,29.5,10000.0,200.0,0.0
20090911,PVX,19.02,19.68,19.02,19.68,764500.0,29.0,30.0,29.0,30.0,74800.0,5300.0,0.0
20090912,PVX,19.185,20.01,19.155,19.68,,,,,,,,
20090913,PVX,19.2675,20.175,19.2225,19.68,,,,,,,,
20090914,PVX,19.35,20.34,19.29,19.68,695700.0,29.5,31.0,29.4,30.0,0.0,0.0,0.0
20090915,PVX,19.75,19.81,19.22,19.42,462200.0,30.1,30.2,29.3,29.6,0.0,0.0,0.0
20090916,PVX,19.35,19.94,19.22,19.42,677300.0,29.5,30.4,29.3,29.6,0.0,6000.0,0.0
20090917,PVX,19.62,19.81,19.09,19.28,468600.0,29.9,30.2,29.1,29.4,0.0,0.0,200.0
20090918,PVX,19.21,19.35,19.02,19.22,591900.0,29.3,29.5,29.0,29.3,10000.0,0.0,0.0
20090919,PVX,19.315,19.385,18.99,19.22,,,,,,,,
20090920,PVX,19.3675,19.4025,18.975,19.22,,,,,,,,
20090921,PVX,19.42,19.42,18.96,19.22,827600.0,29.6,29.6,28.9,29.3,0.0,0.0,0.0
20090922,PVX,19.15,19.15,18.76,18.83,826900.0,29.2,29.2,28.6,28.7,0.0,0.0,0.0
20090923,PVX,19.03,20.21,18.9,19.48,1851000.0,29.0,30.8,28.8,29.7,0.0,0.0,0.0
20090924,PVX,19.48,19.68,19.02,19.22,379300.0,29.7,30.0,29.0,29.3,0.0,38500.0,5000.0
20090925,PVX,19.02,19.22,18.96,19.15,495700.0,29.0,29.3,28.9,29.2,0.0,13000.0,0.0
20090926,PVX,19.02,19.35,18.89,19.02,,,,,,,,
20090927,PVX,19.02,19.415,18.855,18.955,,,,,,,,
20090928,PVX,19.02,19.48,18.82,18.89,647600.0,29.0,29.7,28.7,28.8,0.0,13900.0,0.0
20090929,PVX,19.28,19.28,18.69,18.76,573900.0,29.4,29.4,28.5,28.6,12000.0,600.0,0.0
20090930,PVX,18.83,18.83,18.3,18.43,613400.0,28.7,28.7,27.9,28.1,30000.0,22000.0,5000.0
20090931,PVX,18.595,18.63,17.94,18.105,,,,,,,,
20090932,PVX,18.4775,18.53,17.76,17.9425,,,,,,,,
20090933,PVX,18.41875,18.48,17.67,17.86125,,,,,,,,
20090934,PVX,18.389375,18.455,17.625,17.820625,,,,,,,,
20090935,PVX,18.3746875,18.4425,17.6025,17.8003125,,,,,,,,
20090936,PVX,18.36734375,18.43625,17.59125,17.79015625,,,,,,,,
20090937,PVX,18.363671875,18.433125,17.585625,17.785078125,,,,,,,,
20090938,PVX,18.3618359375,18.4315625,17.5828125,17.7825390625,,,,,,,,
20090939,PVX,18.3609179688,18.43078125,17.58140625,17.7812695313,,,,,,,,
20090940,PVX,18.3604589844,18.430390625,17.580703125,17.7806347656,,,,,,,,
20090941,PVX,18.3602294922,18.4301953125,17.5803515625,17.7803173828,,,,,,,,
20090942,PVX,18.3601147461,18.4300976562,17.5801757812,17.7801586914,,,,,,,,
20090943,PVX,18.360057373,18.4300488281,17.5800878906,17.7800793457,,,,,,,,
20090944,PVX,18.3600286865,18.4300244141,17.5800439453,17.7800396729,,,,,,,,
20090945,PVX,18.3600143433,18.430012207,17.5800219727,17.7800198364,,,,,,,,
20090946,PVX,18.3600071716,18.4300061035,17.5800109863,17.7800099182,,,,,,,,
20090947,PVX,18.3600035858,18.4300030518,17.5800054932,17.7800049591,,,,,,,,
20090948,PVX,18.3600017929,18.4300015259,17.5800027466,17.7800024796,,,,,,,,
20090949,PVX,18.3600008965,18.4300007629,17.5800013733,17.7800012398,,,,,,,,
20090950,PVX,18.3600004482,18.4300003815,17.5800006866,17.7800006199,,,,,,,,
20090951,PVX,18.3600002241,18.4300001907,17.5800003433,17.7800003099,,,,,,,,
20090952,PVX,18.3600001121,18.4300000954,17.5800001717,17.780000155,,,,,,,,
20090953,PVX,18.360000056,18.4300000477,17.5800000858,17.7800000775,,,,,,,,
20090954,PVX,18.360000028,18.4300000238,17.5800000429,17.7800000387,,,,,,,,
20090955,PVX,18.360000014,18.4300000119,17.5800000215,17.7800000194,,,,,,,,
20090956,PVX,18.360000007,18.430000006,17.5800000107,17.7800000097,,,,,,,,
20090957,PVX,18.3600000035,18.430000003,17.5800000054,17.7800000048,,,,,,,,
20090958,PVX,18.3600000018,18.4300000015,17.5800000027,17.7800000024,,,,,,,,
20090959,PVX,18.3600000009,18.4300000007,17.5800000013,17.7800000012,,,,,,,,
20090960,PVX,18.3600000004,18.4300000004,17.5800000007,17.7800000006,,,,,,,,
20090961,PVX,18.3600000002,18.4300000002,17.5800000003,17.7800000003,,,,,,,,
20090962,PVX,18.3600000001,18.4300000001,17.5800000002,17.7800000002,,,,,,,,
20090963,PVX,18.3600000001,18.43,17.5800000001,17.7800000001,,,,,,,,
20090964,PVX,18.36,18.43,17.58,17.78,,,,,,,,
20090965,PVX,18.36,18.43,17.58,17.78,,,,,,,,
20090966,PVX,18.36,18.43,17.58,17.78,,,,,,,,
