<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100621,PXI,16.64,18.86,16.64,18.79,1478250.0,25.6,29.0,25.6,28.9,0.0,790.0,0.0
20100622,PXI,18.86,19.7,18.59,19.7,1570740.0,29.0,30.3,28.6,30.3,0.0,5000.0,0.0
20100623,PXI,20.68,20.68,20.48,20.67,1033400.0,31.8,31.8,31.5,31.8,0.0,1000.0,0.0
20100624,PXI,21.64,21.64,21.52,21.65,1115720.0,33.3,33.3,33.1,33.3,0.0,0.0,0.0
20100625,PXI,21.45,22.69,20.8,21.84,1358250.0,33.0,34.9,32.0,33.6,0.0,0.0,0.0
20100626,PXI,21.61,22.265,20.96,21.515,,,,,,,,
20100627,PXI,21.69,22.0525,21.04,21.3525,,,,,,,,
20100628,PXI,21.77,21.84,21.12,21.19,893030.0,33.5,33.6,32.5,32.6,300000.0,0.0,0.0
20100629,PXI,21.19,22.1,21.19,21.45,992320.0,32.6,34.0,32.6,33.0,40000.0,5000.0,5000.0
20100630,PXI,20.86,21.12,20.67,20.74,658390.0,32.1,32.5,31.8,31.9,0.0,0.0,0.0
20100631,PXI,20.835,20.965,20.28,20.315,,,,,,,,
20100632,PXI,20.8225,20.8875,20.085,20.1025,,,,,,,,
20100633,PXI,20.81625,20.84875,19.9875,19.99625,,,,,,,,
20100634,PXI,20.813125,20.829375,19.93875,19.943125,,,,,,,,
20100635,PXI,20.8115625,20.8196875,19.914375,19.9165625,,,,,,,,
20100636,PXI,20.81078125,20.81484375,19.9021875,19.90328125,,,,,,,,
20100637,PXI,20.810390625,20.812421875,19.89609375,19.896640625,,,,,,,,
20100638,PXI,20.8101953125,20.8112109375,19.893046875,19.8933203125,,,,,,,,
20100639,PXI,20.8100976563,20.8106054687,19.8915234375,19.8916601563,,,,,,,,
20100640,PXI,20.8100488281,20.8103027344,19.8907617187,19.8908300781,,,,,,,,
20100641,PXI,20.8100244141,20.8101513672,19.8903808594,19.8904150391,,,,,,,,
20100642,PXI,20.810012207,20.8100756836,19.8901904297,19.8902075195,,,,,,,,
20100643,PXI,20.8100061035,20.8100378418,19.8900952148,19.8901037598,,,,,,,,
20100644,PXI,20.8100030518,20.8100189209,19.8900476074,19.8900518799,,,,,,,,
20100645,PXI,20.8100015259,20.8100094604,19.8900238037,19.8900259399,,,,,,,,
20100646,PXI,20.8100007629,20.8100047302,19.8900119019,19.89001297,,,,,,,,
20100647,PXI,20.8100003815,20.8100023651,19.8900059509,19.890006485,,,,,,,,
20100648,PXI,20.8100001907,20.8100011826,19.8900029755,19.8900032425,,,,,,,,
20100649,PXI,20.8100000954,20.8100005913,19.8900014877,19.8900016212,,,,,,,,
20100650,PXI,20.8100000477,20.8100002956,19.8900007439,19.8900008106,,,,,,,,
20100651,PXI,20.8100000238,20.8100001478,19.8900003719,19.8900004053,,,,,,,,
20100652,PXI,20.8100000119,20.8100000739,19.890000186,19.8900002027,,,,,,,,
20100653,PXI,20.810000006,20.810000037,19.890000093,19.8900001013,,,,,,,,
20100654,PXI,20.810000003,20.8100000185,19.8900000465,19.8900000507,,,,,,,,
20100655,PXI,20.8100000015,20.8100000092,19.8900000232,19.8900000253,,,,,,,,
20100656,PXI,20.8100000007,20.8100000046,19.8900000116,19.8900000127,,,,,,,,
20100657,PXI,20.8100000004,20.8100000023,19.8900000058,19.8900000063,,,,,,,,
20100658,PXI,20.8100000002,20.8100000012,19.8900000029,19.8900000032,,,,,,,,
20100659,PXI,20.8100000001,20.8100000006,19.8900000015,19.8900000016,,,,,,,,
20100660,PXI,20.81,20.8100000003,19.8900000007,19.8900000008,,,,,,,,
20100661,PXI,20.81,20.8100000001,19.8900000004,19.8900000004,,,,,,,,
20100662,PXI,20.81,20.8100000001,19.8900000002,19.8900000002,,,,,,,,
20100663,PXI,20.81,20.81,19.8900000001,19.8900000001,,,,,,,,
20100664,PXI,20.81,20.81,19.89,19.89,,,,,,,,
20100665,PXI,20.81,20.81,19.89,19.89,,,,,,,,
20100666,PXI,20.81,20.81,19.89,19.89,,,,,,,,
20100667,PXI,20.81,20.81,19.89,19.89,,,,,,,,
20100668,PXI,20.81,20.81,19.89,19.89,,,,,,,,
20100669,PXI,20.81,20.81,19.89,19.89,,,,,,,,
20100670,PXI,20.81,20.81,19.89,19.89,,,,,,,,
20100671,PXI,20.81,20.81,19.89,19.89,,,,,,,,
