<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20160815,RAT,16.82,16.82,16.82,16.82,900.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0
20160816,RAT,13.455,13.455,13.455,13.455,,,,,,,,
20160817,RAT,11.7725,11.7725,11.7725,11.7725,,,,,,,,
20160818,RAT,10.93125,10.93125,10.93125,10.93125,,,,,,,,
20160819,RAT,10.510625,10.510625,10.510625,10.510625,,,,,,,,
20160820,RAT,10.3003125,10.3003125,10.3003125,10.3003125,,,,,,,,
20160821,RAT,10.19515625,10.19515625,10.19515625,10.19515625,,,,,,,,
20160822,RAT,10.142578125,10.142578125,10.142578125,10.142578125,,,,,,,,
20160823,RAT,10.1162890625,10.1162890625,10.1162890625,10.1162890625,,,,,,,,
20160824,RAT,10.1031445312,10.1031445312,10.1031445312,10.1031445312,,,,,,,,
20160825,RAT,10.0965722656,10.0965722656,10.0965722656,10.0965722656,,,,,,,,
20160826,RAT,10.0932861328,10.0932861328,10.0932861328,10.0932861328,,,,,,,,
20160827,RAT,10.0916430664,10.0916430664,10.0916430664,10.0916430664,,,,,,,,
20160828,RAT,10.0908215332,10.0908215332,10.0908215332,10.0908215332,,,,,,,,
20160829,RAT,10.0904107666,10.0904107666,10.0904107666,10.0904107666,,,,,,,,
20160830,RAT,10.0902053833,10.0902053833,10.0902053833,10.0902053833,,,,,,,,
20160831,RAT,10.0901026917,10.0901026917,10.0901026917,10.0901026917,,,,,,,,
20160832,RAT,10.0900513458,10.0900513458,10.0900513458,10.0900513458,,,,,,,,
20160833,RAT,10.0900256729,10.0900256729,10.0900256729,10.0900256729,,,,,,,,
20160834,RAT,10.0900128365,10.0900128365,10.0900128365,10.0900128365,,,,,,,,
20160835,RAT,10.0900064182,10.0900064182,10.0900064182,10.0900064182,,,,,,,,
20160836,RAT,10.0900032091,10.0900032091,10.0900032091,10.0900032091,,,,,,,,
20160837,RAT,10.0900016046,10.0900016046,10.0900016046,10.0900016046,,,,,,,,
20160838,RAT,10.0900008023,10.0900008023,10.0900008023,10.0900008023,,,,,,,,
20160839,RAT,10.0900004011,10.0900004011,10.0900004011,10.0900004011,,,,,,,,
20160840,RAT,10.0900002006,10.0900002006,10.0900002006,10.0900002006,,,,,,,,
20160841,RAT,10.0900001003,10.0900001003,10.0900001003,10.0900001003,,,,,,,,
20160842,RAT,10.0900000501,10.0900000501,10.0900000501,10.0900000501,,,,,,,,
20160843,RAT,10.0900000251,10.0900000251,10.0900000251,10.0900000251,,,,,,,,
20160844,RAT,10.0900000125,10.0900000125,10.0900000125,10.0900000125,,,,,,,,
20160845,RAT,10.0900000063,10.0900000063,10.0900000063,10.0900000063,,,,,,,,
20160846,RAT,10.0900000031,10.0900000031,10.0900000031,10.0900000031,,,,,,,,
20160847,RAT,10.0900000016,10.0900000016,10.0900000016,10.0900000016,,,,,,,,
20160848,RAT,10.0900000008,10.0900000008,10.0900000008,10.0900000008,,,,,,,,
20160849,RAT,10.0900000004,10.0900000004,10.0900000004,10.0900000004,,,,,,,,
20160850,RAT,10.0900000002,10.0900000002,10.0900000002,10.0900000002,,,,,,,,
20160851,RAT,10.0900000001,10.0900000001,10.0900000001,10.0900000001,,,,,,,,
20160852,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160853,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160854,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160855,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160856,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160857,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160858,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160859,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160860,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160861,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160862,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160863,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160864,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160865,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160866,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160867,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160868,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160869,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160870,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160871,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160872,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160873,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160874,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160875,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160876,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160877,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160878,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160879,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160880,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160881,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160882,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160883,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160884,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160885,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160886,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160887,RAT,10.09,10.09,10.09,10.09,,,,,,,,
20160888,RAT,10.09,10.09,10.09,10.09,,,,,,,,
