<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20161202,RCC,18.59,18.59,13.14,13.14,33300.0,19.1,19.1,13.5,13.5,0.0,0.0,0.0
20161203,RCC,18.005,18.25,14.695,15.43,,,,,,,,
20161204,RCC,17.7125,18.08,15.4725,16.575,,,,,,,,
20161205,RCC,17.42,17.91,16.25,17.72,42500.0,17.9,18.4,16.7,18.2,606566.0,0.0,0.0
20161206,RCC,17.14,17.14,17.04,17.04,2800.0,17.6,17.6,17.5,17.5,4404.0,0.0,0.0
20161207,RCC,16.36,16.55,16.16,16.36,19000.0,16.8,17.0,16.6,16.8,212653.0,0.0,0.0
20161208,RCC,16.55,16.85,16.55,16.55,25700.0,17.0,17.3,17.0,17.0,0.0,0.0,0.0
20161209,RCC,16.55,17.43,16.55,16.84,45200.0,17.0,17.9,17.0,17.3,31508.0,0.0,0.0
20161210,RCC,16.405,17.475,16.405,16.94,,,,,,,,
20161211,RCC,16.3325,17.4975,16.3325,16.99,,,,,,,,
20161212,RCC,16.26,17.52,16.26,17.04,34561.0,16.7,18.0,16.7,17.5,27353.0,0.0,0.0
20161213,RCC,14.8,16.55,14.8,16.55,4500.0,15.2,17.0,15.2,17.0,0.0,0.0,0.0
20161214,RCC,14.7,16.06,14.7,16.06,13000.0,15.1,16.5,15.1,16.5,34652.0,0.0,0.0
20161215,RCC,16.55,16.55,16.16,16.16,5000.0,17.0,17.0,16.6,16.6,2686.0,0.0,0.0
20161216,RCC,16.26,16.55,16.06,16.55,5500.0,16.7,17.0,16.5,17.0,0.0,0.0,0.0
20161217,RCC,16.405,17.135,16.305,16.795,,,,,,,,
20161218,RCC,16.4775,17.4275,16.4275,16.9175,,,,,,,,
20161219,RCC,16.55,17.72,16.55,17.04,42300.0,17.0,18.2,17.0,17.5,0.0,0.0,0.0
20161220,RCC,17.53,20.16,17.53,20.15,47120.0,18.0,20.7,18.0,20.7,23915.0,0.0,0.0
20161221,RCC,18.98,20.73,18.79,19.47,25052.0,19.5,21.3,19.3,20.0,0.0,0.0,0.0
20161222,RCC,18.5,19.37,18.2,18.79,9793.0,19.0,19.9,18.7,19.3,16895.0,0.0,0.0
20161223,RCC,18.5,19.47,18.5,18.98,46474.0,19.0,20.0,19.0,19.5,0.0,0.0,0.0
20161224,RCC,18.495,19.47,18.495,19.225,,,,,,,,
20161225,RCC,18.4925,19.47,18.4925,19.3475,,,,,,,,
20161226,RCC,18.49,19.47,18.49,19.47,37152.0,19.0,20.0,19.0,20.0,11130.0,0.0,0.0
20161227,RCC,18.59,18.98,18.59,18.98,3069.0,19.1,19.5,19.1,19.5,0.0,0.0,0.0
20161228,RCC,18.49,18.49,16.16,17.43,41400.0,19.0,19.0,16.6,17.9,0.0,0.0,0.0
20161229,RCC,18.5,18.5,18.5,18.5,5000.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0
20161230,RCC,18.31,18.31,17.04,17.52,9800.0,18.8,18.8,17.5,18.0,0.0,0.0,0.0
20161231,RCC,17.43,17.43,15.965,17.035,,,,,,,,
20161232,RCC,16.99,16.99,15.4275,16.7925,,,,,,,,
20161233,RCC,16.77,16.77,15.15875,16.67125,,,,,,,,
20161234,RCC,16.66,16.66,15.024375,16.610625,,,,,,,,
20161235,RCC,16.605,16.605,14.9571875,16.5803125,,,,,,,,
20161236,RCC,16.5775,16.5775,14.92359375,16.56515625,,,,,,,,
20161237,RCC,16.56375,16.56375,14.906796875,16.557578125,,,,,,,,
20161238,RCC,16.556875,16.556875,14.8983984375,16.5537890625,,,,,,,,
20161239,RCC,16.5534375,16.5534375,14.8941992187,16.5518945312,,,,,,,,
20161240,RCC,16.55171875,16.55171875,14.8920996094,16.5509472656,,,,,,,,
20161241,RCC,16.550859375,16.550859375,14.8910498047,16.5504736328,,,,,,,,
20161242,RCC,16.5504296875,16.5504296875,14.8905249023,16.5502368164,,,,,,,,
20161243,RCC,16.5502148437,16.5502148437,14.8902624512,16.5501184082,,,,,,,,
