<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20110616,SDI,12.23,12.23,12.23,12.23,500.0,33.0,33.0,33.0,33.0,0.0,0.0,0.0
20110617,SDI,12.79,12.79,12.79,12.78,1000.0,34.5,34.5,34.5,34.5,0.0,0.0,0.0
20110618,SDI,13.065,13.065,13.065,13.06,,,,,,,,
20110619,SDI,13.2025,13.2025,13.2025,13.2,,,,,,,,
20110620,SDI,13.27125,13.27125,13.27125,13.27,,,,,,,,
20110621,SDI,13.305625,13.305625,13.305625,13.305,,,,,,,,
20110622,SDI,13.3228125,13.3228125,13.3228125,13.3225,,,,,,,,
20110623,SDI,13.33140625,13.33140625,13.33140625,13.33125,,,,,,,,
20110624,SDI,13.335703125,13.335703125,13.335703125,13.335625,,,,,,,,
20110625,SDI,13.3378515625,13.3378515625,13.3378515625,13.3378125,,,,,,,,
20110626,SDI,13.3389257812,13.3389257812,13.3389257812,13.33890625,,,,,,,,
20110627,SDI,13.34,13.34,13.34,13.34,1000.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0
20110628,SDI,13.34,13.34,13.34,13.34,400.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0
20110629,SDI,14.3,14.3,14.3,14.3,2000.0,38.6,38.6,38.6,38.6,0.0,0.0,0.0
20110630,SDI,12.705,12.705,12.705,12.71,,,,,,,,
20110631,SDI,11.9075,11.9075,11.9075,11.915,,,,,,,,
20110632,SDI,11.50875,11.50875,11.50875,11.5175,,,,,,,,
20110633,SDI,11.309375,11.309375,11.309375,11.31875,,,,,,,,
20110634,SDI,11.2096875,11.2096875,11.2096875,11.219375,,,,,,,,
20110635,SDI,11.15984375,11.15984375,11.15984375,11.1696875,,,,,,,,
20110636,SDI,11.134921875,11.134921875,11.134921875,11.14484375,,,,,,,,
20110637,SDI,11.1224609375,11.1224609375,11.1224609375,11.132421875,,,,,,,,
20110638,SDI,11.1162304688,11.1162304688,11.1162304688,11.1262109375,,,,,,,,
20110639,SDI,11.1131152344,11.1131152344,11.1131152344,11.1231054687,,,,,,,,
20110640,SDI,11.1115576172,11.1115576172,11.1115576172,11.1215527344,,,,,,,,
20110641,SDI,11.1107788086,11.1107788086,11.1107788086,11.1207763672,,,,,,,,
20110642,SDI,11.1103894043,11.1103894043,11.1103894043,11.1203881836,,,,,,,,
20110643,SDI,11.1101947021,11.1101947021,11.1101947021,11.1201940918,,,,,,,,
20110644,SDI,11.1100973511,11.1100973511,11.1100973511,11.1200970459,,,,,,,,
20110645,SDI,11.1100486755,11.1100486755,11.1100486755,11.1200485229,,,,,,,,
20110646,SDI,11.1100243378,11.1100243378,11.1100243378,11.1200242615,,,,,,,,
20110647,SDI,11.1100121689,11.1100121689,11.1100121689,11.1200121307,,,,,,,,
20110648,SDI,11.1100060844,11.1100060844,11.1100060844,11.1200060654,,,,,,,,
20110649,SDI,11.1100030422,11.1100030422,11.1100030422,11.1200030327,,,,,,,,
20110650,SDI,11.1100015211,11.1100015211,11.1100015211,11.1200015163,,,,,,,,
20110651,SDI,11.1100007606,11.1100007606,11.1100007606,11.1200007582,,,,,,,,
20110652,SDI,11.1100003803,11.1100003803,11.1100003803,11.1200003791,,,,,,,,
20110653,SDI,11.1100001901,11.1100001901,11.1100001901,11.1200001895,,,,,,,,
20110654,SDI,11.1100000951,11.1100000951,11.1100000951,11.1200000948,,,,,,,,
