<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20161011,SHX,8.2,8.2,8.2,8.2,2500.0,8.2,8.2,8.2,8.2,0.0,0.0,0.0
20161012,SHX,6.6,6.6,6.6,6.6,,,,,,,,
20161013,SHX,5.8,5.8,5.8,5.8,,,,,,,,
20161014,SHX,5.4,5.4,5.4,5.4,,,,,,,,
20161015,SHX,5.2,5.2,5.2,5.2,,,,,,,,
20161016,SHX,5.1,5.1,5.1,5.1,,,,,,,,
20161017,SHX,5.05,5.05,5.05,5.05,,,,,,,,
20161018,SHX,5.025,5.025,5.025,5.025,,,,,,,,
20161019,SHX,5.0125,5.0125,5.0125,5.0125,,,,,,,,
20161020,SHX,5.00625,5.00625,5.00625,5.00625,,,,,,,,
20161021,SHX,5.003125,5.003125,5.003125,5.003125,,,,,,,,
20161022,SHX,5.0015625,5.0015625,5.0015625,5.0015625,,,,,,,,
20161023,SHX,5.00078125,5.00078125,5.00078125,5.00078125,,,,,,,,
20161024,SHX,5.000390625,5.000390625,5.000390625,5.000390625,,,,,,,,
20161025,SHX,5.0001953125,5.0001953125,5.0001953125,5.0001953125,,,,,,,,
20161026,SHX,5.00009765625,5.00009765625,5.00009765625,5.00009765625,,,,,,,,
20161027,SHX,5.00004882813,5.00004882813,5.00004882813,5.00004882813,,,,,,,,
20161028,SHX,5.00002441406,5.00002441406,5.00002441406,5.00002441406,,,,,,,,
20161029,SHX,5.00001220703,5.00001220703,5.00001220703,5.00001220703,,,,,,,,
20161030,SHX,5.00000610352,5.00000610352,5.00000610352,5.00000610352,,,,,,,,
20161031,SHX,5.00000305176,5.00000305176,5.00000305176,5.00000305176,,,,,,,,
20161032,SHX,5.00000152588,5.00000152588,5.00000152588,5.00000152588,,,,,,,,
20161033,SHX,5.00000076294,5.00000076294,5.00000076294,5.00000076294,,,,,,,,
20161034,SHX,5.00000038147,5.00000038147,5.00000038147,5.00000038147,,,,,,,,
20161035,SHX,5.00000019073,5.00000019073,5.00000019073,5.00000019073,,,,,,,,
20161036,SHX,5.00000009537,5.00000009537,5.00000009537,5.00000009537,,,,,,,,
20161037,SHX,5.00000004768,5.00000004768,5.00000004768,5.00000004768,,,,,,,,
20161038,SHX,5.00000002384,5.00000002384,5.00000002384,5.00000002384,,,,,,,,
20161039,SHX,5.00000001192,5.00000001192,5.00000001192,5.00000001192,,,,,,,,
20161040,SHX,5.00000000596,5.00000000596,5.00000000596,5.00000000596,,,,,,,,
20161041,SHX,5.00000000298,5.00000000298,5.00000000298,5.00000000298,,,,,,,,
20161042,SHX,5.00000000149,5.00000000149,5.00000000149,5.00000000149,,,,,,,,
20161043,SHX,5.00000000075,5.00000000075,5.00000000075,5.00000000075,,,,,,,,
20161044,SHX,5.00000000037,5.00000000037,5.00000000037,5.00000000037,,,,,,,,
20161045,SHX,5.00000000019,5.00000000019,5.00000000019,5.00000000019,,,,,,,,
20161046,SHX,5.00000000009,5.00000000009,5.00000000009,5.00000000009,,,,,,,,
20161047,SHX,5.00000000005,5.00000000005,5.00000000005,5.00000000005,,,,,,,,
20161048,SHX,5.00000000002,5.00000000002,5.00000000002,5.00000000002,,,,,,,,
20161049,SHX,5.00000000001,5.00000000001,5.00000000001,5.00000000001,,,,,,,,
20161050,SHX,5.00000000001,5.00000000001,5.00000000001,5.00000000001,,,,,,,,
20161051,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161052,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161053,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161054,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161055,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161056,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161057,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161058,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161059,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161060,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161061,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161062,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161063,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161064,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161065,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161066,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161067,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161068,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161069,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161070,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161071,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161072,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161073,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161074,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161075,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161076,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161077,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161078,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161079,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161080,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161081,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161082,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161083,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161084,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161085,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161086,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161087,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161088,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161089,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161090,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161091,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161092,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161093,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161094,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161095,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161096,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161097,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161098,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161099,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161100,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161101,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161102,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161103,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161104,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161105,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161106,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161107,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161108,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161109,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161110,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161111,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161112,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161113,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161114,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161115,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161116,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161117,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161118,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161119,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161120,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161121,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161122,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161123,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161124,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161125,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161126,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161127,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161128,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161129,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161130,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161131,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161132,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161133,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161134,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161135,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161136,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161137,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161138,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161139,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161140,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161141,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161142,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161143,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161144,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161145,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161146,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161147,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161148,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161149,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161150,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161151,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161152,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161153,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161154,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161155,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161156,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161157,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161158,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161159,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161160,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161161,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161162,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161163,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161164,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161165,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161166,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161167,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161168,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161169,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161170,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161171,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161172,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161173,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161174,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161175,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161176,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161177,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161178,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161179,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161180,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161181,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161182,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161183,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161184,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161185,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161186,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161187,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161188,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161189,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161190,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161191,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161192,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161193,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161194,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161195,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161196,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161197,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161198,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161199,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161200,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161201,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161202,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161203,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161204,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161205,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161206,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161207,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161208,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161209,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161210,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161211,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161212,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161213,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161214,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161215,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161216,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161217,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161218,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161219,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161220,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161221,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161222,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161223,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161224,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161225,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161226,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161227,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161228,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161229,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161230,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161231,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161232,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161233,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161234,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161235,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161236,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161237,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161238,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161239,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161240,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161241,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161242,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161243,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161244,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161245,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161246,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161247,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161248,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161249,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161250,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161251,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161252,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161253,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161254,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161255,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161256,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161257,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161258,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161259,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161260,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161261,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161262,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161263,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161264,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161265,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161266,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161267,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161268,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161269,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161270,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161271,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161272,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161273,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161274,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161275,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161276,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161277,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161278,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161279,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161280,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161281,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161282,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161283,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161284,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161285,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161286,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161287,SHX,5.0,5.0,5.0,5.0,,,,,,,,
20161288,SHX,5.0,5.0,5.0,5.0,,,,,,,,
