<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20161228,SPA,13.98,13.98,13.98,13.98,100.0,14.5,14.5,14.5,14.5,0.0,0.0,0.0
20161229,SPA,13.74,13.74,13.74,13.74,,,,,,,,
20161230,SPA,13.62,13.62,13.62,13.62,,,,,,,,
20161231,SPA,13.56,13.56,13.56,13.56,,,,,,,,
20161232,SPA,13.53,13.53,13.53,13.53,,,,,,,,
20161233,SPA,13.515,13.515,13.515,13.515,,,,,,,,
20161234,SPA,13.5075,13.5075,13.5075,13.5075,,,,,,,,
20161235,SPA,13.50375,13.50375,13.50375,13.50375,,,,,,,,
20161236,SPA,13.501875,13.501875,13.501875,13.501875,,,,,,,,
20161237,SPA,13.5009375,13.5009375,13.5009375,13.5009375,,,,,,,,
20161238,SPA,13.50046875,13.50046875,13.50046875,13.50046875,,,,,,,,
20161239,SPA,13.500234375,13.500234375,13.500234375,13.500234375,,,,,,,,
20161240,SPA,13.5001171875,13.5001171875,13.5001171875,13.5001171875,,,,,,,,
20161241,SPA,13.5000585937,13.5000585937,13.5000585937,13.5000585937,,,,,,,,
20161242,SPA,13.5000292969,13.5000292969,13.5000292969,13.5000292969,,,,,,,,
20161243,SPA,13.5000146484,13.5000146484,13.5000146484,13.5000146484,,,,,,,,
20161244,SPA,13.5000073242,13.5000073242,13.5000073242,13.5000073242,,,,,,,,
20161245,SPA,13.5000036621,13.5000036621,13.5000036621,13.5000036621,,,,,,,,
20161246,SPA,13.5000018311,13.5000018311,13.5000018311,13.5000018311,,,,,,,,
20161247,SPA,13.5000009155,13.5000009155,13.5000009155,13.5000009155,,,,,,,,
20161248,SPA,13.5000004578,13.5000004578,13.5000004578,13.5000004578,,,,,,,,
20161249,SPA,13.5000002289,13.5000002289,13.5000002289,13.5000002289,,,,,,,,
20161250,SPA,13.5000001144,13.5000001144,13.5000001144,13.5000001144,,,,,,,,
20161251,SPA,13.5000000572,13.5000000572,13.5000000572,13.5000000572,,,,,,,,
20161252,SPA,13.5000000286,13.5000000286,13.5000000286,13.5000000286,,,,,,,,
20161253,SPA,13.5000000143,13.5000000143,13.5000000143,13.5000000143,,,,,,,,
20161254,SPA,13.5000000072,13.5000000072,13.5000000072,13.5000000072,,,,,,,,
20161255,SPA,13.5000000036,13.5000000036,13.5000000036,13.5000000036,,,,,,,,
20161256,SPA,13.5000000018,13.5000000018,13.5000000018,13.5000000018,,,,,,,,
20161257,SPA,13.5000000009,13.5000000009,13.5000000009,13.5000000009,,,,,,,,
20161258,SPA,13.5000000004,13.5000000004,13.5000000004,13.5000000004,,,,,,,,
20161259,SPA,13.5000000002,13.5000000002,13.5000000002,13.5000000002,,,,,,,,
20161260,SPA,13.5000000001,13.5000000001,13.5000000001,13.5000000001,,,,,,,,
20161261,SPA,13.5000000001,13.5000000001,13.5000000001,13.5000000001,,,,,,,,
20161262,SPA,13.5,13.5,13.5,13.5,,,,,,,,
20161263,SPA,13.5,13.5,13.5,13.5,,,,,,,,
20161264,SPA,13.5,13.5,13.5,13.5,,,,,,,,
20161265,SPA,13.5,13.5,13.5,13.5,,,,,,,,
20161266,SPA,13.5,13.5,13.5,13.5,,,,,,,,
20161267,SPA,13.5,13.5,13.5,13.5,,,,,,,,
