<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20091007,SRC,11.78,11.78,11.78,11.78,20.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0
20091008,SRC,12.37,12.37,12.37,12.37,20.0,52.5,52.5,52.5,52.5,50000.0,0.0,0.0
20091009,SRC,12.96,12.96,12.96,12.96,10.0,55.0,55.0,55.0,55.0,0.0,0.0,0.0
20091010,SRC,13.255,13.255,13.255,13.255,,,,,,,,
20091011,SRC,13.4025,13.4025,13.4025,13.4025,,,,,,,,
20091012,SRC,13.55,13.55,13.55,13.55,20.0,57.5,57.5,57.5,57.5,29100.0,0.0,0.0
20091013,SRC,14.14,14.14,14.14,14.14,20.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0
20091014,SRC,14.85,14.85,14.85,14.84,120.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0
20091015,SRC,15.55,15.55,15.55,15.55,10.0,66.0,66.0,66.0,66.0,0.0,0.0,0.0
20091016,SRC,16.26,16.26,16.26,16.26,210.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0
20091017,SRC,16.615,16.615,16.615,16.615,,,,,,,,
20091018,SRC,16.7925,16.7925,16.7925,16.7925,,,,,,,,
20091019,SRC,16.97,16.97,16.97,16.97,180.0,72.0,72.0,72.0,72.0,20000.0,0.0,0.0
20091020,SRC,17.79,17.79,17.79,17.79,10810.0,75.5,75.5,75.5,75.5,0.0,0.0,0.0
20091021,SRC,18.61,18.61,18.61,18.62,9810.0,79.0,79.0,79.0,79.0,0.0,0.0,0.0
20091022,SRC,19.44,19.44,19.44,19.44,28590.0,82.5,82.5,82.5,82.5,215000.0,0.0,0.0
20091023,SRC,20.38,20.38,20.38,20.38,199950.0,86.5,86.5,86.5,86.5,20000.0,100.0,0.0
20091024,SRC,20.79,20.79,19.97,19.97,,,,,,,,
20091025,SRC,20.995,20.995,19.765,19.765,,,,,,,,
20091026,SRC,21.2,21.2,19.56,19.56,488170.0,90.0,90.0,83.0,83.0,0.0,100.0,0.0
20091027,SRC,18.62,18.85,18.62,18.62,124500.0,79.0,80.0,79.0,79.0,0.0,0.0,0.0
20091028,SRC,17.8,19.44,17.8,18.14,285800.0,75.5,82.5,75.5,77.0,0.0,700.0,0.0
20091029,SRC,17.43,17.9,17.32,17.32,217230.0,74.0,76.0,73.5,73.5,0.0,500.0,0.0
20091030,SRC,18.14,18.14,17.79,18.14,264810.0,77.0,77.0,75.5,77.0,0.0,0.0,0.0
20091031,SRC,17.785,17.785,17.555,17.73,,,,,,,,
20091032,SRC,17.6075,17.6075,17.4375,17.525,,,,,,,,
20091033,SRC,17.51875,17.51875,17.37875,17.4225,,,,,,,,
20091034,SRC,17.474375,17.474375,17.349375,17.37125,,,,,,,,
20091035,SRC,17.4521875,17.4521875,17.3346875,17.345625,,,,,,,,
20091036,SRC,17.44109375,17.44109375,17.32734375,17.3328125,,,,,,,,
20091037,SRC,17.435546875,17.435546875,17.323671875,17.32640625,,,,,,,,
20091038,SRC,17.4327734375,17.4327734375,17.3218359375,17.323203125,,,,,,,,
20091039,SRC,17.4313867187,17.4313867187,17.3209179688,17.3216015625,,,,,,,,
20091040,SRC,17.4306933594,17.4306933594,17.3204589844,17.3208007812,,,,,,,,
20091041,SRC,17.4303466797,17.4303466797,17.3202294922,17.3204003906,,,,,,,,
20091042,SRC,17.4301733398,17.4301733398,17.3201147461,17.3202001953,,,,,,,,
20091043,SRC,17.4300866699,17.4300866699,17.320057373,17.3201000977,,,,,,,,
20091044,SRC,17.430043335,17.430043335,17.3200286865,17.3200500488,,,,,,,,
20091045,SRC,17.4300216675,17.4300216675,17.3200143433,17.3200250244,,,,,,,,
20091046,SRC,17.4300108337,17.4300108337,17.3200071716,17.3200125122,,,,,,,,
20091047,SRC,17.4300054169,17.4300054169,17.3200035858,17.3200062561,,,,,,,,
20091048,SRC,17.4300027084,17.4300027084,17.3200017929,17.3200031281,,,,,,,,
20091049,SRC,17.4300013542,17.4300013542,17.3200008965,17.320001564,,,,,,,,
20091050,SRC,17.4300006771,17.4300006771,17.3200004482,17.320000782,,,,,,,,
20091051,SRC,17.4300003386,17.4300003386,17.3200002241,17.320000391,,,,,,,,
20091052,SRC,17.4300001693,17.4300001693,17.3200001121,17.3200001955,,,,,,,,
20091053,SRC,17.4300000846,17.4300000846,17.320000056,17.3200000978,,,,,,,,
20091054,SRC,17.4300000423,17.4300000423,17.320000028,17.3200000489,,,,,,,,
20091055,SRC,17.4300000212,17.4300000212,17.320000014,17.3200000244,,,,,,,,
20091056,SRC,17.4300000106,17.4300000106,17.320000007,17.3200000122,,,,,,,,
20091057,SRC,17.4300000053,17.4300000053,17.3200000035,17.3200000061,,,,,,,,
20091058,SRC,17.4300000026,17.4300000026,17.3200000018,17.3200000031,,,,,,,,
20091059,SRC,17.4300000013,17.4300000013,17.3200000009,17.3200000015,,,,,,,,
20091060,SRC,17.4300000007,17.4300000007,17.3200000004,17.3200000008,,,,,,,,
20091061,SRC,17.4300000003,17.4300000003,17.3200000002,17.3200000004,,,,,,,,
20091062,SRC,17.4300000002,17.4300000002,17.3200000001,17.3200000002,,,,,,,,
20091063,SRC,17.4300000001,17.4300000001,17.3200000001,17.3200000001,,,,,,,,
20091064,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091065,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091066,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091067,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091068,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091069,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091070,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091071,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091072,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091073,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091074,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091075,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091076,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091077,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091078,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091079,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091080,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091081,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091082,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091083,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091084,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091085,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091086,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091087,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091088,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091089,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091090,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091091,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091092,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091093,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091094,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091095,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091096,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091097,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091098,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091099,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091100,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091101,SRC,17.43,17.43,17.32,17.32,,,,,,,,
20091102,SRC,17.43,17.43,17.32,17.32,76050.0,74.0,74.0,73.5,73.5,0.0,0.0,0.0
20091103,SRC,16.97,17.44,16.5,16.49,98470.0,72.0,74.0,70.0,70.0,0.0,0.0,0.0
20091104,SRC,15.9,16.61,15.67,15.67,226440.0,67.5,70.5,66.5,66.5,0.0,0.0,500.0
20091105,SRC,16.02,16.38,15.55,16.38,144590.0,68.0,69.5,66.0,69.5,0.0,0.0,0.0
20091106,SRC,17.09,17.09,16.97,16.97,166150.0,72.5,72.5,72.0,72.0,0.0,0.0,0.0
20091107,SRC,16.675,17.03,16.56,16.555,,,,,,,,
20091108,SRC,16.4675,17.0,16.355,16.3475,,,,,,,,
20091109,SRC,16.26,16.97,16.15,16.14,54830.0,69.0,72.0,68.5,68.5,0.0,0.0,0.0
20091110,SRC,16.26,16.26,15.43,15.55,121220.0,69.0,69.0,65.5,66.0,0.0,0.0,0.0
20091111,SRC,15.55,16.14,15.55,15.91,66150.0,66.0,68.5,66.0,67.5,0.0,0.0,0.0
20091112,SRC,16.26,16.62,16.15,16.38,83510.0,69.0,70.5,68.5,69.5,0.0,0.0,0.0
20091113,SRC,16.14,16.5,16.03,16.38,64940.0,68.5,70.0,68.0,69.5,0.0,0.0,0.0
20091114,SRC,16.2,16.5,15.97,16.145,,,,,,,,
20091115,SRC,16.23,16.5,15.94,16.0275,,,,,,,,
20091116,SRC,16.26,16.5,15.91,15.91,32730.0,69.0,70.0,67.5,67.5,0.0,0.0,0.0
20091117,SRC,16.03,16.03,15.91,15.91,41690.0,68.0,68.0,67.5,67.5,0.0,0.0,0.0
20091118,SRC,15.79,16.62,15.67,16.61,111430.0,67.0,70.5,66.5,70.5,0.0,0.0,0.0
20091119,SRC,16.96,17.08,16.61,16.97,125600.0,72.0,72.5,70.5,72.0,34120.0,0.0,0.0
20091120,SRC,16.97,16.97,16.26,16.26,75250.0,72.0,72.0,69.0,69.0,21370.0,0.0,0.0
