<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20101203,THV,17.15,17.15,13.34,16.1,302100.0,18.0,18.0,14.0,16.9,0.0,0.0,0.0
20101204,THV,16.53,16.53,14.625,16.0,,,,,,,,
20101205,THV,16.22,16.22,15.2675,15.95,,,,,,,,
20101206,THV,15.91,15.91,15.91,15.9,186600.0,16.7,16.7,16.7,16.7,0.0,0.0,0.0
20101207,THV,16.95,16.95,14.85,16.95,29700.0,17.8,17.8,15.6,17.8,0.0,0.0,0.0
20101208,THV,16.76,16.76,14.66,14.67,5900.0,17.6,17.6,15.4,15.4,0.0,0.0,0.0
20101209,THV,13.91,14.0,13.91,13.9,79800.0,14.6,14.7,14.6,14.6,86000.0,0.0,0.0
20101210,THV,13.52,14.76,12.95,13.9,236700.0,14.2,15.5,13.6,14.6,0.0,0.0,0.0
20101211,THV,13.9,14.52,13.33,13.95,,,,,,,,
20101212,THV,14.09,14.4,13.52,13.975,,,,,,,,
20101213,THV,14.28,14.28,13.71,14.0,76500.0,15.0,15.0,14.4,14.7,0.0,3000.0,0.0
20101214,THV,14.0,14.0,13.05,13.05,72600.0,14.7,14.7,13.7,13.7,0.0,1300.0,0.0
20101215,THV,12.57,12.57,12.29,12.29,85600.0,13.2,13.2,12.9,12.9,1700000.0,0.0,0.0
20101216,THV,11.43,12.19,11.43,11.62,68700.0,12.0,12.8,12.0,12.2,0.0,0.0,0.0
20101217,THV,11.72,12.29,11.72,12.29,357800.0,12.3,12.9,12.3,12.9,0.0,1500.0,0.0
20101218,THV,12.435,12.72,11.575,11.86,,,,,,,,
20101219,THV,12.7925,12.935,11.5025,11.645,,,,,,,,
20101220,THV,13.15,13.15,11.43,11.43,318200.0,13.8,13.8,12.0,12.0,0.0,0.0,0.0
20101221,THV,12.0,12.0,11.05,11.43,43800.0,12.6,12.6,11.6,12.0,0.0,0.0,0.0
20101222,THV,11.81,11.81,11.14,11.33,46300.0,12.4,12.4,11.7,11.9,0.0,0.0,0.0
20101223,THV,11.52,11.52,10.76,10.76,75600.0,12.1,12.1,11.3,11.3,0.0,0.0,0.0
20101224,THV,11.33,11.43,10.47,10.48,47400.0,11.9,12.0,11.0,11.0,0.0,0.0,0.0
20101225,THV,10.905,10.955,10.285,10.385,,,,,,,,
20101226,THV,10.6925,10.7175,10.1925,10.3375,,,,,,,,
20101227,THV,10.48,10.48,10.1,10.29,73300.0,11.0,11.0,10.6,10.8,0.0,0.0,0.0
20101228,THV,10.67,10.86,10.58,10.86,702500.0,11.2,11.4,11.1,11.4,0.0,5000.0,0.0
20101229,THV,11.34,11.43,10.86,11.24,888600.0,11.9,12.0,11.4,11.8,0.0,5000.0,0.0
20101230,THV,11.53,11.81,11.24,11.43,157900.0,12.1,12.4,11.8,12.0,1221100.0,0.0,800.0
20101231,THV,11.72,11.72,11.14,11.43,57100.0,12.3,12.3,11.7,12.0,0.0,0.0,0.0
20101232,THV,11.815,11.815,10.95,11.095,,,,,,,,
20101233,THV,11.8625,11.8625,10.855,10.9275,,,,,,,,
20101234,THV,11.88625,11.88625,10.8075,10.84375,,,,,,,,
20101235,THV,11.898125,11.898125,10.78375,10.801875,,,,,,,,
20101236,THV,11.9040625,11.9040625,10.771875,10.7809375,,,,,,,,
20101237,THV,11.90703125,11.90703125,10.7659375,10.77046875,,,,,,,,
20101238,THV,11.908515625,11.908515625,10.76296875,10.765234375,,,,,,,,
20101239,THV,11.9092578125,11.9092578125,10.761484375,10.7626171875,,,,,,,,
20101240,THV,11.9096289062,11.9096289062,10.7607421875,10.7613085937,,,,,,,,
20101241,THV,11.9098144531,11.9098144531,10.7603710937,10.7606542969,,,,,,,,
20101242,THV,11.9099072266,11.9099072266,10.7601855469,10.7603271484,,,,,,,,
20101243,THV,11.9099536133,11.9099536133,10.7600927734,10.7601635742,,,,,,,,
20101244,THV,11.9099768066,11.9099768066,10.7600463867,10.7600817871,,,,,,,,
20101245,THV,11.9099884033,11.9099884033,10.7600231934,10.7600408936,,,,,,,,
20101246,THV,11.9099942017,11.9099942017,10.7600115967,10.7600204468,,,,,,,,
20101247,THV,11.9099971008,11.9099971008,10.7600057983,10.7600102234,,,,,,,,
20101248,THV,11.9099985504,11.9099985504,10.7600028992,10.7600051117,,,,,,,,
20101249,THV,11.9099992752,11.9099992752,10.7600014496,10.7600025558,,,,,,,,
20101250,THV,11.9099996376,11.9099996376,10.7600007248,10.7600012779,,,,,,,,
20101251,THV,11.9099998188,11.9099998188,10.7600003624,10.760000639,,,,,,,,
20101252,THV,11.9099999094,11.9099999094,10.7600001812,10.7600003195,,,,,,,,
20101253,THV,11.9099999547,11.9099999547,10.7600000906,10.7600001597,,,,,,,,
20101254,THV,11.9099999774,11.9099999774,10.7600000453,10.7600000799,,,,,,,,
20101255,THV,11.9099999887,11.9099999887,10.7600000226,10.7600000399,,,,,,,,
20101256,THV,11.9099999943,11.9099999943,10.7600000113,10.76000002,,,,,,,,
20101257,THV,11.9099999972,11.9099999972,10.7600000057,10.76000001,,,,,,,,
20101258,THV,11.9099999986,11.9099999986,10.7600000028,10.760000005,,,,,,,,
20101259,THV,11.9099999993,11.9099999993,10.7600000014,10.7600000025,,,,,,,,
20101260,THV,11.9099999996,11.9099999996,10.7600000007,10.7600000012,,,,,,,,
