<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20160606,TIP,13.75,16.5,13.75,16.32,65660.0,15.0,18.0,15.0,17.8,0.0,0.0,0.0
20160607,TIP,16.41,16.41,15.4,16.13,13030.0,17.9,17.9,16.8,17.6,0.0,0.0,0.0
20160608,TIP,15.72,15.765,15.215,15.58,,,,,,,,
20160609,TIP,15.03,15.12,15.03,15.03,10020.0,16.4,16.5,16.4,16.4,0.0,0.0,0.0
20160610,TIP,14.76,15.12,14.02,14.12,15970.0,16.1,16.5,15.3,15.4,0.0,0.0,0.0
20160611,TIP,14.44,14.62,13.795,13.845,,,,,,,,
20160612,TIP,14.28,14.37,13.6825,13.7075,,,,,,,,
20160613,TIP,14.12,14.12,13.57,13.57,7220.0,15.4,15.4,14.8,14.8,0.0,0.0,0.0
20160614,TIP,13.39,14.49,13.39,14.48,6170.0,14.6,15.8,14.6,15.8,0.0,0.0,0.0
20160615,TIP,15.03,15.03,14.48,14.48,13040.0,16.4,16.4,15.8,15.8,0.0,0.0,0.0
20160616,TIP,14.66,14.66,14.21,14.21,11930.0,16.0,16.0,15.5,15.5,0.0,0.0,0.0
20160617,TIP,14.12,14.21,13.84,13.84,1970.0,15.4,15.5,15.1,15.1,0.0,0.0,0.0
20160618,TIP,14.115,14.255,13.975,14.025,,,,,,,,
20160619,TIP,14.1125,14.2775,14.0425,14.1175,,,,,,,,
20160620,TIP,14.11,14.3,14.11,14.21,24920.0,15.4,15.6,15.4,15.5,0.0,0.0,0.0
20160621,TIP,13.84,14.58,13.84,14.58,9860.0,15.1,15.9,15.1,15.9,0.0,0.0,0.0
20160622,TIP,14.12,14.58,14.12,14.58,400.0,15.4,15.9,15.4,15.9,0.0,0.0,0.0
20160623,TIP,14.12,14.21,14.12,14.21,5900.0,15.4,15.5,15.4,15.5,0.0,1000.0,0.0
20160624,TIP,13.75,13.93,13.75,13.93,9060.0,15.0,15.2,15.0,15.2,0.0,590.0,0.0
20160625,TIP,13.565,13.93,13.565,13.655,,,,,,,,
20160626,TIP,13.4725,13.93,13.4725,13.5175,,,,,,,,
20160627,TIP,13.38,13.93,13.38,13.38,16490.0,14.6,15.2,14.6,14.6,0.0,0.0,0.0
20160628,TIP,14.3,14.3,14.2,14.21,160.0,15.6,15.6,15.5,15.5,0.0,0.0,0.0
20160629,TIP,14.025,14.115,13.975,14.07,,,,,,,,
20160630,TIP,13.75,13.93,13.75,13.93,44600.0,15.0,15.2,15.0,15.2,0.0,19500.0,0.0
20160631,TIP,13.885,14.02,13.885,13.98,,,,,,,,
20160632,TIP,13.9525,14.065,13.9525,14.005,,,,,,,,
20160633,TIP,13.98625,14.0875,13.98625,14.0175,,,,,,,,
20160634,TIP,14.003125,14.09875,14.003125,14.02375,,,,,,,,
20160635,TIP,14.0115625,14.104375,14.0115625,14.026875,,,,,,,,
20160636,TIP,14.01578125,14.1071875,14.01578125,14.0284375,,,,,,,,
20160637,TIP,14.017890625,14.10859375,14.017890625,14.02921875,,,,,,,,
20160638,TIP,14.0189453125,14.109296875,14.0189453125,14.029609375,,,,,,,,
20160639,TIP,14.0194726562,14.1096484375,14.0194726562,14.0298046875,,,,,,,,
20160640,TIP,14.0197363281,14.1098242187,14.0197363281,14.0299023437,,,,,,,,
20160641,TIP,14.0198681641,14.1099121094,14.0198681641,14.0299511719,,,,,,,,
20160642,TIP,14.019934082,14.1099560547,14.019934082,14.0299755859,,,,,,,,
20160643,TIP,14.019967041,14.1099780273,14.019967041,14.029987793,,,,,,,,
20160644,TIP,14.0199835205,14.1099890137,14.0199835205,14.0299938965,,,,,,,,
20160645,TIP,14.0199917603,14.1099945068,14.0199917603,14.0299969482,,,,,,,,
20160646,TIP,14.0199958801,14.1099972534,14.0199958801,14.0299984741,,,,,,,,
20160647,TIP,14.0199979401,14.1099986267,14.0199979401,14.0299992371,,,,,,,,
20160648,TIP,14.01999897,14.1099993134,14.01999897,14.0299996185,,,,,,,,
20160649,TIP,14.019999485,14.1099996567,14.019999485,14.0299998093,,,,,,,,
20160650,TIP,14.0199997425,14.1099998283,14.0199997425,14.0299999046,,,,,,,,
20160651,TIP,14.0199998713,14.1099999142,14.0199998713,14.0299999523,,,,,,,,
20160652,TIP,14.0199999356,14.1099999571,14.0199999356,14.0299999762,,,,,,,,
20160653,TIP,14.0199999678,14.1099999785,14.0199999678,14.0299999881,,,,,,,,
20160654,TIP,14.0199999839,14.1099999893,14.0199999839,14.029999994,,,,,,,,
20160655,TIP,14.019999992,14.1099999946,14.019999992,14.029999997,,,,,,,,
20160656,TIP,14.019999996,14.1099999973,14.019999996,14.0299999985,,,,,,,,
20160657,TIP,14.019999998,14.1099999987,14.019999998,14.0299999993,,,,,,,,
20160658,TIP,14.019999999,14.1099999993,14.019999999,14.0299999996,,,,,,,,
20160659,TIP,14.0199999995,14.1099999997,14.0199999995,14.0299999998,,,,,,,,
20160660,TIP,14.0199999997,14.1099999998,14.0199999997,14.0299999999,,,,,,,,
20160661,TIP,14.0199999999,14.1099999999,14.0199999999,14.03,,,,,,,,
20160662,TIP,14.0199999999,14.11,14.0199999999,14.03,,,,,,,,
20160663,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160664,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160665,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160666,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160667,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160668,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160669,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160670,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160671,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160672,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160673,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160674,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160675,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160676,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160677,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160678,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160679,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160680,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160681,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160682,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160683,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160684,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160685,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160686,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160687,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160688,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160689,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160690,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160691,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160692,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160693,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160694,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160695,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160696,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160697,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160698,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160699,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160700,TIP,14.02,14.11,14.02,14.03,,,,,,,,
20160701,TIP,14.02,14.11,14.02,14.03,12480.0,15.3,15.4,15.3,15.3,0.0,7560.0,0.0
20160702,TIP,13.885,14.16,13.885,14.12,,,,,,,,
