<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20061228,TLC,78.63,78.63,78.63,78.63,93400.0,85.0,85.0,85.0,85.0,93200.0,0.0,0.0
20061229,TLC,70.77,70.77,70.77,70.77,800.0,76.5,76.5,76.5,76.5,0.0,0.0,0.0
20061230,TLC,68.225,68.225,67.255,67.255,,,,,,,,
20061231,TLC,66.9525,66.9525,65.4975,65.4975,,,,,,,,
20061232,TLC,66.31625,66.31625,64.61875,64.61875,,,,,,,,
20061233,TLC,65.998125,65.998125,64.179375,64.179375,,,,,,,,
20061234,TLC,65.8390625,65.8390625,63.9596875,63.9596875,,,,,,,,
20061235,TLC,65.75953125,65.75953125,63.84984375,63.84984375,,,,,,,,
20061236,TLC,65.719765625,65.719765625,63.794921875,63.794921875,,,,,,,,
20061237,TLC,65.6998828125,65.6998828125,63.7674609375,63.7674609375,,,,,,,,
20061238,TLC,65.6899414062,65.6899414062,63.7537304688,63.7537304688,,,,,,,,
20061239,TLC,65.6849707031,65.6849707031,63.7468652344,63.7468652344,,,,,,,,
20061240,TLC,65.6824853516,65.6824853516,63.7434326172,63.7434326172,,,,,,,,
20061241,TLC,65.6812426758,65.6812426758,63.7417163086,63.7417163086,,,,,,,,
20061242,TLC,65.6806213379,65.6806213379,63.7408581543,63.7408581543,,,,,,,,
20061243,TLC,65.6803106689,65.6803106689,63.7404290771,63.7404290771,,,,,,,,
20061244,TLC,65.6801553345,65.6801553345,63.7402145386,63.7402145386,,,,,,,,
20061245,TLC,65.6800776672,65.6800776672,63.7401072693,63.7401072693,,,,,,,,
20061246,TLC,65.6800388336,65.6800388336,63.7400536346,63.7400536346,,,,,,,,
20061247,TLC,65.6800194168,65.6800194168,63.7400268173,63.7400268173,,,,,,,,
20061248,TLC,65.6800097084,65.6800097084,63.7400134087,63.7400134087,,,,,,,,
20061249,TLC,65.6800048542,65.6800048542,63.7400067043,63.7400067043,,,,,,,,
20061250,TLC,65.6800024271,65.6800024271,63.7400033522,63.7400033522,,,,,,,,
20061251,TLC,65.6800012136,65.6800012136,63.7400016761,63.7400016761,,,,,,,,
20061252,TLC,65.6800006068,65.6800006068,63.740000838,63.740000838,,,,,,,,
20061253,TLC,65.6800003034,65.6800003034,63.740000419,63.740000419,,,,,,,,
20061254,TLC,65.6800001517,65.6800001517,63.7400002095,63.7400002095,,,,,,,,
20061255,TLC,65.6800000758,65.6800000758,63.7400001048,63.7400001048,,,,,,,,
20061256,TLC,65.6800000379,65.6800000379,63.7400000524,63.7400000524,,,,,,,,
20061257,TLC,65.680000019,65.680000019,63.7400000262,63.7400000262,,,,,,,,
20061258,TLC,65.6800000095,65.6800000095,63.7400000131,63.7400000131,,,,,,,,
20061259,TLC,65.6800000047,65.6800000047,63.7400000065,63.7400000065,,,,,,,,
20061260,TLC,65.6800000024,65.6800000024,63.7400000033,63.7400000033,,,,,,,,
20061261,TLC,65.6800000012,65.6800000012,63.7400000016,63.7400000016,,,,,,,,
20061262,TLC,65.6800000006,65.6800000006,63.7400000008,63.7400000008,,,,,,,,
20061263,TLC,65.6800000003,65.6800000003,63.7400000004,63.7400000004,,,,,,,,
20061264,TLC,65.6800000001,65.6800000001,63.7400000002,63.7400000002,,,,,,,,
20061265,TLC,65.6800000001,65.6800000001,63.7400000001,63.7400000001,,,,,,,,
20061266,TLC,65.68,65.68,63.7400000001,63.7400000001,,,,,,,,
20061267,TLC,65.68,65.68,63.74,63.74,,,,,,,,
20061268,TLC,65.68,65.68,63.74,63.74,,,,,,,,
20061269,TLC,65.68,65.68,63.74,63.74,,,,,,,,
20061270,TLC,65.68,65.68,63.74,63.74,,,,,,,,
20061271,TLC,65.68,65.68,63.74,63.74,,,,,,,,
20061272,TLC,65.68,65.68,63.74,63.74,,,,,,,,
20061273,TLC,65.68,65.68,63.74,63.74,,,,,,,,
