<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170116,TMB,14.21,14.21,13.74,13.74,2000.0,15.0,15.0,14.5,14.5,0.0,0.0,0.0
20170117,TMB,13.31,13.31,13.075,13.075,,,,,,,,
20170118,TMB,12.86,12.86,12.7425,12.7425,,,,,,,,
20170119,TMB,12.635,12.635,12.57625,12.57625,,,,,,,,
20170120,TMB,12.5225,12.5225,12.493125,12.493125,,,,,,,,
20170121,TMB,12.46625,12.46625,12.4515625,12.4515625,,,,,,,,
20170122,TMB,12.438125,12.438125,12.43078125,12.43078125,,,,,,,,
20170123,TMB,12.4240625,12.4240625,12.420390625,12.420390625,,,,,,,,
20170124,TMB,12.41703125,12.41703125,12.4151953125,12.4151953125,,,,,,,,
20170125,TMB,12.413515625,12.413515625,12.4125976562,12.4125976562,,,,,,,,
20170126,TMB,12.4117578125,12.4117578125,12.4112988281,12.4112988281,,,,,,,,
20170127,TMB,12.4108789062,12.4108789062,12.4106494141,12.4106494141,,,,,,,,
20170128,TMB,12.4104394531,12.4104394531,12.410324707,12.410324707,,,,,,,,
20170129,TMB,12.4102197266,12.4102197266,12.4101623535,12.4101623535,,,,,,,,
20170130,TMB,12.4101098633,12.4101098633,12.4100811768,12.4100811768,,,,,,,,
20170131,TMB,12.4100549316,12.4100549316,12.4100405884,12.4100405884,,,,,,,,
20170132,TMB,12.4100274658,12.4100274658,12.4100202942,12.4100202942,,,,,,,,
20170133,TMB,12.4100137329,12.4100137329,12.4100101471,12.4100101471,,,,,,,,
20170134,TMB,12.4100068665,12.4100068665,12.4100050735,12.4100050735,,,,,,,,
20170135,TMB,12.4100034332,12.4100034332,12.4100025368,12.4100025368,,,,,,,,
20170136,TMB,12.4100017166,12.4100017166,12.4100012684,12.4100012684,,,,,,,,
20170137,TMB,12.4100008583,12.4100008583,12.4100006342,12.4100006342,,,,,,,,
