<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170421,TVA,20.4,20.4,20.4,20.4,100.0,20.4,20.4,20.4,20.4,0.0,0.0,0.0
20170422,TVA,18.9,20.4,18.9,20.4,,,,,,,,
20170423,TVA,18.15,20.4,18.15,20.4,,,,,,,,
20170424,TVA,17.4,20.4,17.4,20.4,300.0,17.4,20.4,17.4,20.4,0.0,0.0,0.0
20170425,TVA,16.0,16.0,16.0,16.0,400.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0
20170426,TVA,16.05,16.05,16.05,16.05,,,,,,,,
20170427,TVA,16.1,16.1,16.1,16.1,1000.0,16.1,16.1,16.1,16.1,0.0,0.0,0.0
20170428,TVA,16.1,16.1,16.1,16.1,1500.0,16.1,16.1,16.1,16.1,0.0,0.0,0.0
20170429,TVA,17.3,17.3,17.3,17.3,,,,,,,,
20170430,TVA,17.9,17.9,17.9,17.9,,,,,,,,
20170431,TVA,18.2,18.2,18.2,18.2,,,,,,,,
20170432,TVA,18.35,18.35,18.35,18.35,,,,,,,,
20170433,TVA,18.425,18.425,18.425,18.425,,,,,,,,
20170434,TVA,18.4625,18.4625,18.4625,18.4625,,,,,,,,
20170435,TVA,18.48125,18.48125,18.48125,18.48125,,,,,,,,
20170436,TVA,18.490625,18.490625,18.490625,18.490625,,,,,,,,
20170437,TVA,18.4953125,18.4953125,18.4953125,18.4953125,,,,,,,,
20170438,TVA,18.49765625,18.49765625,18.49765625,18.49765625,,,,,,,,
20170439,TVA,18.498828125,18.498828125,18.498828125,18.498828125,,,,,,,,
20170440,TVA,18.4994140625,18.4994140625,18.4994140625,18.4994140625,,,,,,,,
20170441,TVA,18.4997070313,18.4997070313,18.4997070313,18.4997070313,,,,,,,,
20170442,TVA,18.4998535156,18.4998535156,18.4998535156,18.4998535156,,,,,,,,
20170443,TVA,18.4999267578,18.4999267578,18.4999267578,18.4999267578,,,,,,,,
20170444,TVA,18.4999633789,18.4999633789,18.4999633789,18.4999633789,,,,,,,,
20170445,TVA,18.4999816895,18.4999816895,18.4999816895,18.4999816895,,,,,,,,
20170446,TVA,18.4999908447,18.4999908447,18.4999908447,18.4999908447,,,,,,,,
20170447,TVA,18.4999954224,18.4999954224,18.4999954224,18.4999954224,,,,,,,,
20170448,TVA,18.4999977112,18.4999977112,18.4999977112,18.4999977112,,,,,,,,
20170449,TVA,18.4999988556,18.4999988556,18.4999988556,18.4999988556,,,,,,,,
20170450,TVA,18.4999994278,18.4999994278,18.4999994278,18.4999994278,,,,,,,,
20170451,TVA,18.4999997139,18.4999997139,18.4999997139,18.4999997139,,,,,,,,
20170452,TVA,18.4999998569,18.4999998569,18.4999998569,18.4999998569,,,,,,,,
20170453,TVA,18.4999999285,18.4999999285,18.4999999285,18.4999999285,,,,,,,,
20170454,TVA,18.4999999642,18.4999999642,18.4999999642,18.4999999642,,,,,,,,
20170455,TVA,18.4999999821,18.4999999821,18.4999999821,18.4999999821,,,,,,,,
20170456,TVA,18.4999999911,18.4999999911,18.4999999911,18.4999999911,,,,,,,,
20170457,TVA,18.4999999955,18.4999999955,18.4999999955,18.4999999955,,,,,,,,
20170458,TVA,18.4999999978,18.4999999978,18.4999999978,18.4999999978,,,,,,,,
20170459,TVA,18.4999999989,18.4999999989,18.4999999989,18.4999999989,,,,,,,,
20170460,TVA,18.4999999994,18.4999999994,18.4999999994,18.4999999994,,,,,,,,
20170461,TVA,18.4999999997,18.4999999997,18.4999999997,18.4999999997,,,,,,,,
20170462,TVA,18.4999999999,18.4999999999,18.4999999999,18.4999999999,,,,,,,,
20170463,TVA,18.4999999999,18.4999999999,18.4999999999,18.4999999999,,,,,,,,
20170464,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170465,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170466,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170467,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170468,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170469,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170470,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170471,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170472,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170473,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170474,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170475,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170476,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170477,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170478,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170479,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170480,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170481,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170482,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170483,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170484,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170485,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170486,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170487,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170488,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170489,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170490,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170491,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170492,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170493,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170494,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170495,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170496,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170497,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170498,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170499,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170500,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170501,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170502,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170503,TVA,18.5,18.5,18.5,18.5,,,,,,,,
20170504,TVA,18.5,18.5,18.5,18.5,700.0,18.5,18.5,18.5,18.5,0.0,0.0,0.0
20170505,TVA,19.5,20.0,17.1,17.1,800.0,19.5,20.0,17.1,17.1,0.0,0.0,0.0
20170506,TVA,19.5,19.75,18.3,18.3,,,,,,,,
20170507,TVA,19.5,19.625,18.9,18.9,,,,,,,,
20170508,TVA,19.5,19.5,19.5,19.5,1900.0,19.5,19.5,19.5,19.5,0.0,0.0,0.0
20170509,TVA,17.0,19.5,17.0,17.0,1200.0,17.0,19.5,17.0,17.0,0.0,0.0,0.0
20170510,TVA,19.5,19.5,16.5,16.5,1400.0,19.5,19.5,16.5,16.5,0.0,0.0,0.0
20170511,TVA,17.5,19.4,17.5,19.4,600.0,17.5,19.4,17.5,19.4,0.0,0.0,0.0
20170512,TVA,19.5,19.5,19.5,19.5,3100.0,19.5,19.5,19.5,19.5,0.0,0.0,0.0
20170513,TVA,18.15,18.15,18.15,18.15,,,,,,,,
20170514,TVA,17.475,17.475,17.475,17.475,,,,,,,,
20170515,TVA,16.8,16.8,16.8,16.8,300.0,16.8,16.8,16.8,16.8,0.0,0.0,0.0
20170516,TVA,19.0,19.0,19.0,19.0,100.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0
20170517,TVA,19.5,19.5,19.15,19.5,,,,,,,,
20170518,TVA,20.0,20.0,19.3,20.0,3300.0,20.0,20.0,19.3,20.0,0.0,0.0,0.0
20170519,TVA,18.65,18.65,18.3,18.65,,,,,,,,
20170520,TVA,17.975,17.975,17.8,17.975,,,,,,,,
20170521,TVA,17.6375,17.6375,17.55,17.6375,,,,,,,,
20170522,TVA,17.3,17.3,17.3,17.3,600.0,17.3,17.3,17.3,17.3,0.0,0.0,0.0
20170523,TVA,17.4,17.4,17.4,17.4,,,,,,,,
20170524,TVA,17.5,17.5,17.5,17.5,300.0,17.5,17.5,17.5,17.5,0.0,0.0,0.0
20170525,TVA,17.0,17.0,17.0,17.0,100.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0
20170526,TVA,17.5,17.5,17.5,17.5,400.0,17.5,17.5,17.5,17.5,0.0,0.0,0.0
20170527,TVA,18.15,18.45,18.15,18.45,,,,,,,,
20170528,TVA,18.475,18.925,18.475,18.925,,,,,,,,
20170529,TVA,18.6375,19.1625,18.6375,19.1625,,,,,,,,
20170530,TVA,18.71875,19.28125,18.71875,19.28125,,,,,,,,
20170531,TVA,18.8,19.4,18.8,19.4,2700.0,18.8,19.4,18.8,19.4,0.0,0.0,0.0
20170532,TVA,19.2,19.5,19.2,19.5,,,,,,,,
20170533,TVA,19.4,19.55,19.4,19.55,,,,,,,,
20170534,TVA,19.5,19.575,19.5,19.575,,,,,,,,
20170535,TVA,19.55,19.5875,19.55,19.5875,,,,,,,,
20170536,TVA,19.575,19.59375,19.575,19.59375,,,,,,,,
20170537,TVA,19.5875,19.596875,19.5875,19.596875,,,,,,,,
20170538,TVA,19.59375,19.5984375,19.59375,19.5984375,,,,,,,,
20170539,TVA,19.596875,19.59921875,19.596875,19.59921875,,,,,,,,
20170540,TVA,19.5984375,19.599609375,19.5984375,19.599609375,,,,,,,,
20170541,TVA,19.59921875,19.5998046875,19.59921875,19.5998046875,,,,,,,,
20170542,TVA,19.599609375,19.5999023438,19.599609375,19.5999023438,,,,,,,,
20170543,TVA,19.5998046875,19.5999511719,19.5998046875,19.5999511719,,,,,,,,
20170544,TVA,19.5999023438,19.5999755859,19.5999023438,19.5999755859,,,,,,,,
20170545,TVA,19.5999511719,19.599987793,19.5999511719,19.599987793,,,,,,,,
20170546,TVA,19.5999755859,19.5999938965,19.5999755859,19.5999938965,,,,,,,,
20170547,TVA,19.599987793,19.5999969482,19.599987793,19.5999969482,,,,,,,,
20170548,TVA,19.5999938965,19.5999984741,19.5999938965,19.5999984741,,,,,,,,
20170549,TVA,19.5999969482,19.5999992371,19.5999969482,19.5999992371,,,,,,,,
20170550,TVA,19.5999984741,19.5999996185,19.5999984741,19.5999996185,,,,,,,,
20170551,TVA,19.5999992371,19.5999998093,19.5999992371,19.5999998093,,,,,,,,
20170552,TVA,19.5999996185,19.5999999046,19.5999996185,19.5999999046,,,,,,,,
20170553,TVA,19.5999998093,19.5999999523,19.5999998093,19.5999999523,,,,,,,,
20170554,TVA,19.5999999046,19.5999999762,19.5999999046,19.5999999762,,,,,,,,
20170555,TVA,19.5999999523,19.5999999881,19.5999999523,19.5999999881,,,,,,,,
20170556,TVA,19.5999999762,19.599999994,19.5999999762,19.599999994,,,,,,,,
20170557,TVA,19.5999999881,19.599999997,19.5999999881,19.599999997,,,,,,,,
20170558,TVA,19.599999994,19.5999999985,19.599999994,19.5999999985,,,,,,,,
20170559,TVA,19.599999997,19.5999999993,19.599999997,19.5999999993,,,,,,,,
20170560,TVA,19.5999999985,19.5999999996,19.5999999985,19.5999999996,,,,,,,,
20170561,TVA,19.5999999993,19.5999999998,19.5999999993,19.5999999998,,,,,,,,
20170562,TVA,19.5999999996,19.5999999999,19.5999999996,19.5999999999,,,,,,,,
20170563,TVA,19.5999999998,19.6,19.5999999998,19.6,,,,,,,,
20170564,TVA,19.5999999999,19.6,19.5999999999,19.6,,,,,,,,
20170565,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170566,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170567,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170568,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170569,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170570,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170571,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170572,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170573,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170574,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170575,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170576,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170577,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170578,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170579,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170580,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170581,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170582,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170583,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170584,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170585,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170586,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170587,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170588,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170589,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170590,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170591,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170592,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170593,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170594,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170595,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170596,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170597,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170598,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170599,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170600,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170601,TVA,19.6,19.6,19.6,19.6,1000.0,19.6,19.6,19.6,19.6,0.0,0.0,0.0
20170602,TVA,20.3,20.3,20.0,20.1,4600.0,20.3,20.3,20.0,20.1,0.0,0.0,0.0
20170603,TVA,20.3,20.45,20.15,20.35,,,,,,,,
20170604,TVA,20.3,20.525,20.225,20.475,,,,,,,,
20170605,TVA,20.3,20.6,20.3,20.6,2500.0,20.3,20.6,20.3,20.6,0.0,0.0,0.0
20170606,TVA,21.0,21.0,21.0,21.0,2200.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0
20170607,TVA,19.6,19.6,19.6,19.6,,,,,,,,
20170608,TVA,18.2,18.2,18.2,18.2,100.0,18.2,18.2,18.2,18.2,0.0,0.0,0.0
20170609,TVA,19.55,19.55,19.55,19.55,,,,,,,,
20170610,TVA,20.225,20.225,20.225,20.225,,,,,,,,
20170611,TVA,20.5625,20.5625,20.5625,20.5625,,,,,,,,
20170612,TVA,20.9,20.9,20.9,20.9,200.0,20.9,20.9,20.9,20.9,0.0,0.0,0.0
20170613,TVA,17.8,22.0,17.8,22.0,600.0,17.8,22.0,17.8,22.0,0.0,0.0,0.0
20170614,TVA,18.5,18.5,18.5,18.5,100.0,18.5,18.5,18.5,18.5,0.0,0.0,0.0
20170615,TVA,19.75,19.85,19.75,19.85,,,,,,,,
20170616,TVA,20.375,20.525,20.375,20.525,,,,,,,,
20170617,TVA,20.6875,20.8625,20.6875,20.8625,,,,,,,,
20170618,TVA,20.84375,21.03125,20.84375,21.03125,,,,,,,,
20170619,TVA,21.0,21.2,21.0,21.2,2200.0,21.0,21.2,21.0,21.2,0.0,0.0,0.0
20170620,TVA,21.5,21.6,21.5,21.6,,,,,,,,
20170621,TVA,22.0,22.0,22.0,22.0,200.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0
20170622,TVA,22.5,22.75,22.5,22.75,,,,,,,,
