<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20161216,VCP,23.8,23.8,17.0,20.0,6400.0,23.8,23.8,17.0,20.0,0.0,0.0,0.0
20161217,VCP,22.4,22.8,19.0,20.75,,,,,,,,
20161218,VCP,21.7,22.3,20.0,21.125,,,,,,,,
20161219,VCP,21.0,21.8,21.0,21.5,10766.0,21.0,21.8,21.0,21.5,0.0,0.0,0.0
20161220,VCP,21.0,21.0,18.2,18.6,11000.0,21.0,21.0,18.2,18.6,0.0,0.0,0.0
20161221,VCP,20.0,20.0,18.5,18.5,9300.0,20.0,20.0,18.5,18.5,0.0,0.0,0.0
20161222,VCP,18.6,18.7,18.6,18.6,5900.0,18.6,18.7,18.6,18.6,0.0,0.0,0.0
20161223,VCP,18.6,18.7,18.5,18.5,12000.0,18.6,18.7,18.5,18.5,0.0,0.0,0.0
20161224,VCP,18.55,18.6,18.25,18.25,,,,,,,,
20161225,VCP,18.525,18.55,18.125,18.125,,,,,,,,
20161226,VCP,18.5,18.5,18.0,18.0,12700.0,18.5,18.5,18.0,18.0,0.0,0.0,0.0
20161227,VCP,18.1,18.1,18.0,18.0,12200.0,18.1,18.1,18.0,18.0,0.0,0.0,0.0
20161228,VCP,17.8,17.8,17.5,17.8,11600.0,17.8,17.8,17.5,17.8,0.0,0.0,0.0
20161229,VCP,17.0,17.0,16.3,16.3,8400.0,17.0,17.0,16.3,16.3,0.0,0.0,0.0
20161230,VCP,16.2,16.5,16.2,16.3,28100.0,16.2,16.5,16.2,16.3,0.0,0.0,0.0
20161231,VCP,16.35,17.55,16.35,17.45,,,,,,,,
20161232,VCP,16.425,18.075,16.425,18.025,,,,,,,,
20161233,VCP,16.4625,18.3375,16.4625,18.3125,,,,,,,,
20161234,VCP,16.48125,18.46875,16.48125,18.45625,,,,,,,,
20161235,VCP,16.490625,18.534375,16.490625,18.528125,,,,,,,,
20161236,VCP,16.4953125,18.5671875,16.4953125,18.5640625,,,,,,,,
20161237,VCP,16.49765625,18.58359375,16.49765625,18.58203125,,,,,,,,
20161238,VCP,16.498828125,18.591796875,16.498828125,18.591015625,,,,,,,,
20161239,VCP,16.4994140625,18.5958984375,16.4994140625,18.5955078125,,,,,,,,
20161240,VCP,16.4997070313,18.5979492188,16.4997070313,18.5977539063,,,,,,,,
20161241,VCP,16.4998535156,18.5989746094,16.4998535156,18.5988769531,,,,,,,,
20161242,VCP,16.4999267578,18.5994873047,16.4999267578,18.5994384766,,,,,,,,
20161243,VCP,16.4999633789,18.5997436523,16.4999633789,18.5997192383,,,,,,,,
20161244,VCP,16.4999816895,18.5998718262,16.4999816895,18.5998596191,,,,,,,,
20161245,VCP,16.4999908447,18.5999359131,16.4999908447,18.5999298096,,,,,,,,
20161246,VCP,16.4999954224,18.5999679565,16.4999954224,18.5999649048,,,,,,,,
20161247,VCP,16.4999977112,18.5999839783,16.4999977112,18.5999824524,,,,,,,,
20161248,VCP,16.4999988556,18.5999919891,16.4999988556,18.5999912262,,,,,,,,
20161249,VCP,16.4999994278,18.5999959946,16.4999994278,18.5999956131,,,,,,,,
20161250,VCP,16.4999997139,18.5999979973,16.4999997139,18.5999978065,,,,,,,,
20161251,VCP,16.4999998569,18.5999989986,16.4999998569,18.5999989033,,,,,,,,
20161252,VCP,16.4999999285,18.5999994993,16.4999999285,18.5999994516,,,,,,,,
20161253,VCP,16.4999999642,18.5999997497,16.4999999642,18.5999997258,,,,,,,,
20161254,VCP,16.4999999821,18.5999998748,16.4999999821,18.5999998629,,,,,,,,
20161255,VCP,16.4999999911,18.5999999374,16.4999999911,18.5999999315,,,,,,,,
20161256,VCP,16.4999999955,18.5999999687,16.4999999955,18.5999999657,,,,,,,,
20161257,VCP,16.4999999978,18.5999999844,16.4999999978,18.5999999829,,,,,,,,
20161258,VCP,16.4999999989,18.5999999922,16.4999999989,18.5999999914,,,,,,,,
20161259,VCP,16.4999999994,18.5999999961,16.4999999994,18.5999999957,,,,,,,,
20161260,VCP,16.4999999997,18.599999998,16.4999999997,18.5999999979,,,,,,,,
20161261,VCP,16.4999999999,18.599999999,16.4999999999,18.5999999989,,,,,,,,
20161262,VCP,16.4999999999,18.5999999995,16.4999999999,18.5999999995,,,,,,,,
20161263,VCP,16.5,18.5999999998,16.5,18.5999999997,,,,,,,,
20161264,VCP,16.5,18.5999999999,16.5,18.5999999999,,,,,,,,
20161265,VCP,16.5,18.5999999999,16.5,18.5999999999,,,,,,,,
20161266,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161267,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161268,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161269,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161270,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161271,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161272,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161273,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161274,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161275,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161276,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161277,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161278,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161279,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161280,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161281,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161282,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161283,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161284,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161285,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161286,VCP,16.5,18.6,16.5,18.6,,,,,,,,
20161287,VCP,16.5,18.6,16.5,18.6,,,,,,,,
