<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100615,VNX,1.38,1.38,1.38,1.38,500.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0
20100616,VNX,1.365,1.365,1.365,1.36,,,,,,,,
20100617,VNX,1.3575,1.3575,1.3575,1.35,,,,,,,,
20100618,VNX,1.35375,1.35375,1.35375,1.345,,,,,,,,
20100619,VNX,1.351875,1.351875,1.351875,1.3425,,,,,,,,
20100620,VNX,1.3509375,1.3509375,1.3509375,1.34125,,,,,,,,
20100621,VNX,1.35,1.35,1.35,1.34,300.0,19.5,19.5,19.5,19.5,0.0,0.0,0.0
20100622,VNX,1.31,1.31,1.31,1.31,200.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0
20100623,VNX,1.295,1.295,1.295,1.29,,,,,,,,
20100624,VNX,1.2875,1.2875,1.2875,1.28,,,,,,,,
20100625,VNX,1.28,1.28,1.28,1.27,500.0,18.5,18.5,18.5,18.5,0.0,0.0,0.0
20100626,VNX,1.29,1.29,1.26,1.255,,,,,,,,
20100627,VNX,1.295,1.295,1.25,1.2475,,,,,,,,
20100628,VNX,1.3,1.3,1.24,1.24,1100.0,19.0,19.0,18.0,18.0,0.0,0.0,0.0
20100629,VNX,1.24,1.24,1.24,1.24,500.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0
20100630,VNX,1.23,1.23,1.225,1.225,,,,,,,,
20100631,VNX,1.225,1.225,1.2175,1.2175,,,,,,,,
20100632,VNX,1.2225,1.2225,1.21375,1.21375,,,,,,,,
20100633,VNX,1.22125,1.22125,1.211875,1.211875,,,,,,,,
20100634,VNX,1.220625,1.220625,1.2109375,1.2109375,,,,,,,,
20100635,VNX,1.2203125,1.2203125,1.21046875,1.21046875,,,,,,,,
20100636,VNX,1.22015625,1.22015625,1.210234375,1.210234375,,,,,,,,
20100637,VNX,1.220078125,1.220078125,1.2101171875,1.2101171875,,,,,,,,
20100638,VNX,1.2200390625,1.2200390625,1.21005859375,1.21005859375,,,,,,,,
20100639,VNX,1.22001953125,1.22001953125,1.21002929687,1.21002929687,,,,,,,,
20100640,VNX,1.22000976562,1.22000976562,1.21001464844,1.21001464844,,,,,,,,
20100641,VNX,1.22000488281,1.22000488281,1.21000732422,1.21000732422,,,,,,,,
20100642,VNX,1.22000244141,1.22000244141,1.21000366211,1.21000366211,,,,,,,,
20100643,VNX,1.2200012207,1.2200012207,1.21000183105,1.21000183105,,,,,,,,
20100644,VNX,1.22000061035,1.22000061035,1.21000091553,1.21000091553,,,,,,,,
20100645,VNX,1.22000030518,1.22000030518,1.21000045776,1.21000045776,,,,,,,,
20100646,VNX,1.22000015259,1.22000015259,1.21000022888,1.21000022888,,,,,,,,
20100647,VNX,1.22000007629,1.22000007629,1.21000011444,1.21000011444,,,,,,,,
20100648,VNX,1.22000003815,1.22000003815,1.21000005722,1.21000005722,,,,,,,,
20100649,VNX,1.22000001907,1.22000001907,1.21000002861,1.21000002861,,,,,,,,
20100650,VNX,1.22000000954,1.22000000954,1.21000001431,1.21000001431,,,,,,,,
20100651,VNX,1.22000000477,1.22000000477,1.21000000715,1.21000000715,,,,,,,,
20100652,VNX,1.22000000238,1.22000000238,1.21000000358,1.21000000358,,,,,,,,
20100653,VNX,1.22000000119,1.22000000119,1.21000000179,1.21000000179,,,,,,,,
20100654,VNX,1.2200000006,1.2200000006,1.21000000089,1.21000000089,,,,,,,,
20100655,VNX,1.2200000003,1.2200000003,1.21000000045,1.21000000045,,,,,,,,
20100656,VNX,1.22000000015,1.22000000015,1.21000000022,1.21000000022,,,,,,,,
20100657,VNX,1.22000000007,1.22000000007,1.21000000011,1.21000000011,,,,,,,,
20100658,VNX,1.22000000004,1.22000000004,1.21000000006,1.21000000006,,,,,,,,
20100659,VNX,1.22000000002,1.22000000002,1.21000000003,1.21000000003,,,,,,,,
20100660,VNX,1.22000000001,1.22000000001,1.21000000001,1.21000000001,,,,,,,,
20100661,VNX,1.22,1.22,1.21000000001,1.21000000001,,,,,,,,
20100662,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100663,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100664,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100665,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100666,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100667,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100668,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100669,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100670,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100671,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100672,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100673,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100674,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100675,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100676,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100677,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100678,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100679,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100680,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100681,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100682,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100683,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100684,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100685,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100686,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100687,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100688,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100689,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100690,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100691,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100692,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100693,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100694,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100695,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100696,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100697,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100698,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100699,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100700,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100701,VNX,1.22,1.22,1.21,1.21,,,,,,,,
20100702,VNX,1.22,1.22,1.21,1.21,570.0,17.7,17.7,17.6,17.6,0.0,0.0,0.0
20100703,VNX,1.16,1.16,1.155,1.155,,,,,,,,
20100704,VNX,1.13,1.13,1.1275,1.1275,,,,,,,,
20100705,VNX,1.115,1.115,1.11375,1.11375,,,,,,,,
20100706,VNX,1.1,1.1,1.1,1.1,100.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0
20100707,VNX,0.99,1.01,0.99,1.0,1780.0,14.4,14.7,14.4,14.5,0.0,0.0,0.0
20100708,VNX,0.91,0.91,0.91,0.91,10.0,13.2,13.2,13.2,13.2,0.0,0.0,0.0
20100709,VNX,0.82,0.82,0.82,0.82,170.0,11.9,11.9,11.9,11.9,0.0,0.0,0.0
20100710,VNX,0.78,0.86,0.78,0.855,,,,,,,,
