<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20160127,VPA,14.0,14.0,14.0,14.0,100.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0
20160128,VPA,13.0,13.0,13.0,13.0,,,,,,,,
20160129,VPA,12.5,12.5,12.5,12.5,,,,,,,,
20160130,VPA,12.25,12.25,12.25,12.25,,,,,,,,
20160131,VPA,12.125,12.125,12.125,12.125,,,,,,,,
20160132,VPA,12.0625,12.0625,12.0625,12.0625,,,,,,,,
20160133,VPA,12.03125,12.03125,12.03125,12.03125,,,,,,,,
20160134,VPA,12.015625,12.015625,12.015625,12.015625,,,,,,,,
20160135,VPA,12.0078125,12.0078125,12.0078125,12.0078125,,,,,,,,
20160136,VPA,12.00390625,12.00390625,12.00390625,12.00390625,,,,,,,,
20160137,VPA,12.001953125,12.001953125,12.001953125,12.001953125,,,,,,,,
20160138,VPA,12.0009765625,12.0009765625,12.0009765625,12.0009765625,,,,,,,,
20160139,VPA,12.0004882812,12.0004882812,12.0004882812,12.0004882812,,,,,,,,
20160140,VPA,12.0002441406,12.0002441406,12.0002441406,12.0002441406,,,,,,,,
20160141,VPA,12.0001220703,12.0001220703,12.0001220703,12.0001220703,,,,,,,,
20160142,VPA,12.0000610352,12.0000610352,12.0000610352,12.0000610352,,,,,,,,
20160143,VPA,12.0000305176,12.0000305176,12.0000305176,12.0000305176,,,,,,,,
20160144,VPA,12.0000152588,12.0000152588,12.0000152588,12.0000152588,,,,,,,,
20160145,VPA,12.0000076294,12.0000076294,12.0000076294,12.0000076294,,,,,,,,
20160146,VPA,12.0000038147,12.0000038147,12.0000038147,12.0000038147,,,,,,,,
20160147,VPA,12.0000019073,12.0000019073,12.0000019073,12.0000019073,,,,,,,,
20160148,VPA,12.0000009537,12.0000009537,12.0000009537,12.0000009537,,,,,,,,
20160149,VPA,12.0000004768,12.0000004768,12.0000004768,12.0000004768,,,,,,,,
20160150,VPA,12.0000002384,12.0000002384,12.0000002384,12.0000002384,,,,,,,,
20160151,VPA,12.0000001192,12.0000001192,12.0000001192,12.0000001192,,,,,,,,
20160152,VPA,12.0000000596,12.0000000596,12.0000000596,12.0000000596,,,,,,,,
20160153,VPA,12.0000000298,12.0000000298,12.0000000298,12.0000000298,,,,,,,,
20160154,VPA,12.0000000149,12.0000000149,12.0000000149,12.0000000149,,,,,,,,
20160155,VPA,12.0000000075,12.0000000075,12.0000000075,12.0000000075,,,,,,,,
20160156,VPA,12.0000000037,12.0000000037,12.0000000037,12.0000000037,,,,,,,,
20160157,VPA,12.0000000019,12.0000000019,12.0000000019,12.0000000019,,,,,,,,
20160158,VPA,12.0000000009,12.0000000009,12.0000000009,12.0000000009,,,,,,,,
20160159,VPA,12.0000000005,12.0000000005,12.0000000005,12.0000000005,,,,,,,,
20160160,VPA,12.0000000002,12.0000000002,12.0000000002,12.0000000002,,,,,,,,
20160161,VPA,12.0000000001,12.0000000001,12.0000000001,12.0000000001,,,,,,,,
20160162,VPA,12.0000000001,12.0000000001,12.0000000001,12.0000000001,,,,,,,,
20160163,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160164,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160165,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160166,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160167,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160168,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160169,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160170,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160171,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160172,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160173,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160174,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160175,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160176,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160177,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160178,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160179,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160180,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160181,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160182,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160183,VPA,12.0,12.0,12.0,12.0,,,,,,,,
20160184,VPA,12.0,12.0,12.0,12.0,,,,,,,,
