<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20101217,VTI,11.13,11.13,11.13,11.13,100.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0
20101218,VTI,8.93,8.93,8.93,8.93,,,,,,,,
20101219,VTI,7.83,7.83,7.83,7.83,,,,,,,,
20101220,VTI,7.28,7.28,7.28,7.28,,,,,,,,
20101221,VTI,7.005,7.005,7.005,7.005,,,,,,,,
20101222,VTI,6.8675,6.8675,6.8675,6.8675,,,,,,,,
20101223,VTI,6.79875,6.79875,6.79875,6.79875,,,,,,,,
20101224,VTI,6.764375,6.764375,6.764375,6.764375,,,,,,,,
20101225,VTI,6.7471875,6.7471875,6.7471875,6.7471875,,,,,,,,
20101226,VTI,6.73859375,6.73859375,6.73859375,6.73859375,,,,,,,,
20101227,VTI,6.734296875,6.734296875,6.734296875,6.734296875,,,,,,,,
20101228,VTI,6.7321484375,6.7321484375,6.7321484375,6.7321484375,,,,,,,,
20101229,VTI,6.73107421875,6.73107421875,6.73107421875,6.73107421875,,,,,,,,
20101230,VTI,6.73053710938,6.73053710938,6.73053710938,6.73053710938,,,,,,,,
20101231,VTI,6.73026855469,6.73026855469,6.73026855469,6.73026855469,,,,,,,,
20101232,VTI,6.73013427734,6.73013427734,6.73013427734,6.73013427734,,,,,,,,
20101233,VTI,6.73006713867,6.73006713867,6.73006713867,6.73006713867,,,,,,,,
20101234,VTI,6.73003356934,6.73003356934,6.73003356934,6.73003356934,,,,,,,,
20101235,VTI,6.73001678467,6.73001678467,6.73001678467,6.73001678467,,,,,,,,
20101236,VTI,6.73000839233,6.73000839233,6.73000839233,6.73000839233,,,,,,,,
20101237,VTI,6.73000419617,6.73000419617,6.73000419617,6.73000419617,,,,,,,,
20101238,VTI,6.73000209808,6.73000209808,6.73000209808,6.73000209808,,,,,,,,
20101239,VTI,6.73000104904,6.73000104904,6.73000104904,6.73000104904,,,,,,,,
20101240,VTI,6.73000052452,6.73000052452,6.73000052452,6.73000052452,,,,,,,,
20101241,VTI,6.73000026226,6.73000026226,6.73000026226,6.73000026226,,,,,,,,
20101242,VTI,6.73000013113,6.73000013113,6.73000013113,6.73000013113,,,,,,,,
20101243,VTI,6.73000006557,6.73000006557,6.73000006557,6.73000006557,,,,,,,,
20101244,VTI,6.73000003278,6.73000003278,6.73000003278,6.73000003278,,,,,,,,
20101245,VTI,6.73000001639,6.73000001639,6.73000001639,6.73000001639,,,,,,,,
20101246,VTI,6.7300000082,6.7300000082,6.7300000082,6.7300000082,,,,,,,,
20101247,VTI,6.7300000041,6.7300000041,6.7300000041,6.7300000041,,,,,,,,
20101248,VTI,6.73000000205,6.73000000205,6.73000000205,6.73000000205,,,,,,,,
20101249,VTI,6.73000000102,6.73000000102,6.73000000102,6.73000000102,,,,,,,,
20101250,VTI,6.73000000051,6.73000000051,6.73000000051,6.73000000051,,,,,,,,
20101251,VTI,6.73000000026,6.73000000026,6.73000000026,6.73000000026,,,,,,,,
20101252,VTI,6.73000000013,6.73000000013,6.73000000013,6.73000000013,,,,,,,,
20101253,VTI,6.73000000006,6.73000000006,6.73000000006,6.73000000006,,,,,,,,
20101254,VTI,6.73000000003,6.73000000003,6.73000000003,6.73000000003,,,,,,,,
20101255,VTI,6.73000000002,6.73000000002,6.73000000002,6.73000000002,,,,,,,,
20101256,VTI,6.73000000001,6.73000000001,6.73000000001,6.73000000001,,,,,,,,
20101257,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101258,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101259,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101260,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101261,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101262,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101263,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101264,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101265,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101266,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101267,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101268,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101269,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101270,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101271,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101272,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101273,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101274,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101275,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101276,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101277,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101278,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101279,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101280,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101281,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101282,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101283,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101284,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101285,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101286,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101287,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101288,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101289,VTI,6.73,6.73,6.73,6.73,,,,,,,,
20101290,VTI,6.73,6.73,6.73,6.73,,,,,,,,
